screening_sequence,batch_checkpoint,covidence_number,title,first_author,publication_year,publication_language,abstract_available_yes_no,decision_yes_maybe_no,primary_reason_code,evidence_supporting_decision,concise_private_rationale,confidence_high_medium_low,record_type,protocol_or_results,actual_clinical_results_reported_yes_no_unclear,outcomes_planned_only_yes_no_not_applicable,general_anaesthesia_yes_no_unclear,randomized_yes_no_unclear,active_comparator_type,common_background_care_balanced_yes_no_unclear,ERAS_identical_between_groups_yes_no_not_applicable_unclear,intervention_effect_separable_yes_no_unclear,timing_eligible_yes_no_unclear,timing_description,surrogate_only_yes_no_unclear,translation_required_yes_no,possible_companion_report_yes_no,vote_registered_yes_no,post_vote_timestamp,interface_issue,notes
47,050,328,Transcutaneous electrical acupoint stimulation combined with electroacupuncture promotes rapid recovery after abdominal surgery: Study protocol for a randomized controlled trial.,Li,2022,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,The abstract is explicitly a study protocol and states that 560 patients will be recruited and randomly allocated; outcomes are planned only.,Protocol only; no randomized clinical results are reported.,high,protocol,protocol,no,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:17:22.977Z,none,"DOI 10.3389/fpubh.2022.1017375; ChiCTR2100043883; protocol includes separate TEAS-only and EA-only arms plus a combined arm, but eligibility is not adjudicated because no results are reported."
48,050,329,Effect of TEAS combined with general anesthesia on early postoperative cognitive function in elderly patients undergoing single-port thoracoscopic lobectomy.,Chen,2022,English,yes,No,EXCLUDE_NOT_RANDOMIZED,The methods explicitly describe a single-center retrospective observational study in which groups were defined according to existing treatment records.,"Retrospective observational comparison, not a randomized controlled trial.",high,journal_article,results,yes,no,yes,no,sham_TEAS,unclear,not_applicable,yes,yes,TEAS was delivered before anaesthesia.,no,no,no,yes,2026-07-23T15:17:40.584Z,none,"DOI 10.12669/pjms.38.8.6927; includes postoperative cognitive, complication, length-of-stay, and cost outcomes."
49,050,330,[Clinical observation on acupuncture for symptom burden in gastric cancer patients undergoing adjuvant chemotherapy after gastrectomy].,Chang,2022,Chinese,yes,No,EXCLUDE_INSEPARABLE_INTERVENTION,"The intervention combined acupuncture at multiple points with electroacupuncture connected only at ipsilateral ST36 and PC6, so the independent EA effect cannot be separated; it was delivered during adjuvant chemotherapy after gastrectomy.",EA was inseparable from additional acupuncture and was not a perioperative intervention within the eligible timing window.,high,journal_article,results,yes,no,unclear,yes,usual_care,yes,not_applicable,no,no,"Acupuncture was delivered repeatedly during adjuvant chemotherapy cycles after gastrectomy, not during the perioperative 24-hour window.",no,no,no,yes,2026-07-23T15:18:04.260Z,none,DOI 10.13703/j.0255-2930.20211106-k0004; English abstract available despite Chinese-language publication.
50,050,331,Efficacy of electroacupuncture in preventing nausea and vomiting after thyroidectomy: A prospective randomized controlled trial.,Park,2022,English,yes,No,EXCLUDE_INSEPARABLE_INTERVENTION,"The randomized intervention group received electroacupuncture together with intradermal press needles, so the independent effect of EA cannot be separated.",EA was inseparable from explicitly excluded intradermal press-needle treatment.,high,journal_article,results,yes,no,yes,yes,usual_care,unclear,not_applicable,no,unclear,"Electroacupuncture was described as treatment after thyroidectomy, but the abstract does not state the exact postoperative timing.",no,no,no,yes,2026-07-23T15:18:22.516Z,none,"DOI 10.1016/j.asjsur.2022.10.080; KCT0001782; clinical outcomes included PONV, pain, length of stay, and morbidity."
51,075,332,Perioperative transcutaneous electrical acupoint stimulation (pTEAS) in pain management in major spinal surgery patients.,Wu,2022,English,yes,Yes,INCLUDE_CLEAR,"Prospective randomized double-blind trial of perioperative TEAS at recognized acupoints versus identical electrode placement without electrical output in 90 posterior lumbar fusion patients; reports intraoperative opioid use and postoperative pain, PONV, and dizziness.",Clear perioperative TEAS sham-controlled RCT with eligible clinical outcomes and stimulation spanning the operative period.,high,journal_article,results,yes,no,yes,yes,sham_TEAS,yes,not_applicable,yes,yes,"Perioperative TEAS affected intraoperative remifentanil use and measures at tracheal extubation, establishing stimulation by the operative period.",no,no,no,yes,2026-07-23T15:22:48.872Z,none,DOI 10.1186/s12871-022-01875-3; ChiCTR1800014634.
52,075,333,"Electroacupuncture vs Sham Electroacupuncture in the Treatment of Postoperative Ileus After Laparoscopic Surgery for Colorectal Cancer: A Multicenter, Randomized Clinical Trial.",Wang,2023,English,yes,Maybe,UNCERTAIN_TIMING,"Multicenter randomized sham-controlled EA trial after laparoscopic colorectal resection with eligible gastrointestinal recovery and complication outcomes, but the abstract states only that four sessions were given after surgery and does not specify when the first session began.",Otherwise eligible EA trial; full text is needed to verify that the first postoperative session occurred within 24 hours.,high,journal_article,results,yes,no,unclear,yes,sham_EA,yes,yes,yes,unclear,Four EA or sham sessions were administered after surgery; exact time of the first session is not reported in the abstract.,no,no,no,yes,2026-07-23T15:23:18.318Z,none,"DOI 10.1001/jamasurg.2022.5674; ChiCTR2000038444; laparoscopic colorectal surgery strongly suggests general anaesthesia, but it is not explicit in the abstract."
53,075,334,Electroacupuncture Preconditioning Alleviates Lipopolysaccharides-Induced Acute Lung Injury by Downregulating LC3-II/I and Beclin 1 Expression.,Sun,2022,English,yes,No,EXCLUDE_ANIMAL,The study randomized 18 male Sprague-Dawley rats and used an LPS-induced acute lung injury model.,Animal experiment; no eligible adult surgical population.,high,journal_article,results,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:23:37.091Z,none,DOI 10.1155/2022/8997173.
54,075,335,Acute Effects of Different Electroacupuncture Point Combinations to Modulate the Gut-Brain Axis in the Minipig Model.,Zhang,2022,English,yes,No,EXCLUDE_ANIMAL,The experiment involved four adult Yucatan minipigs receiving acute EA sessions under anaesthesia.,Animal experiment; no eligible adult surgical population.,high,journal_article,results,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:24:00.031Z,none,DOI 10.1155/2022/4384693.
55,075,336,The role of acupuncture in pain and swelling control for postoperative tibial fracture treatment.,Quoc,2022,English,yes,Maybe,UNCERTAIN_RANDOMIZATION,"Controlled clinical trial of postoperative EA versus no EA after tibial intramedullary nailing, but the abstract only says that 60 patients were divided into two groups and does not describe random allocation.","Potentially eligible EA trial; full text is needed to verify randomization, anaesthetic technique, and first-treatment timing.",high,journal_article,results,yes,no,unclear,unclear,usual_care,unclear,not_applicable,yes,unclear,"EA was postoperative and effects were reported at 24–48 hours, but the time of the first session is not clearly stated.",no,no,no,yes,2026-07-23T15:24:21.854Z,none,DOI 10.1016/j.ijscr.2022.107600; article type is a controlled clinical trial despite the journal title containing case reports.
56,075,337,Transcutaneous electric acupoint stimulation reduces rocuronium injection-related pain: a prospective randomized controlled study.,Yildiz,2022,English,yes,No,EXCLUDE_NO_ELIGIBLE_OUTCOME,"The trial's sole reported outcome was pain caused by rocuronium injection during induction; no postoperative pain, opioid use, recovery, complication, adverse-event, or other eligible postoperative clinical outcome was collected or reported.","Clear sham-controlled TEAS RCT, but it evaluates only induction drug-injection pain rather than an eligible postoperative clinical outcome.",high,journal_article,results,yes,no,yes,yes,sham_TEAS,yes,not_applicable,yes,yes,TEAS was delivered for 30 minutes before anaesthesia induction.,no,no,no,yes,2026-07-23T15:25:04.010Z,none,"DOI 10.26355/eurrev_202209_29639; excluded for outcome scope, not for intervention, comparator, design, anaesthesia, or timing."
57,075,338,Effect of Transcutaneous Electrical Acupoint Stimulation Combined with Transversus Abdominis Plane Block on Postoperative Recovery in Elderly Patients Undergoing Laparoscopic Gastric Cancer Surgery: A Randomized Controlled Trial.,Xing,2022,English,yes,Yes,INCLUDE_CLEAR,"Randomized trial under general anaesthesia with a TEAS-plus-TAP block arm and a TAP-block-only arm, allowing the independent TEAS effect to be estimated; reports opioid consumption, pain, PONV, quality of recovery, ambulation, and gastrointestinal recovery.",Clear perioperative TEAS RCT with a balanced TAP-block comparison that isolates TEAS and eligible clinical outcomes.,high,journal_article,results,yes,no,yes,yes,usual_care_with_balanced_TAP_block,yes,not_applicable,yes,yes,"TEAS influenced intraoperative remifentanil consumption and extubation time, establishing perioperative delivery by the end of surgery.",no,no,no,yes,2026-07-23T15:25:29.714Z,none,DOI 10.1007/s40122-022-00429-2; ChiCTR2100042119; the general-anaesthesia-only arm provides an additional supportive comparison.
58,075,340,Prospective comparison of acupuncture with sham acupuncture to determine impact on sedation and analgesia in mechanically ventilated critically ill patients (PASSION study): protocol for a randomised controlled trial.,Zhang,2022,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,"The publication explicitly presents a protocol, uses future-tense recruitment and intervention descriptions, and reports no randomized clinical results.",Protocol only; no clinical results are reported.,high,protocol,protocol,no,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:26:05.149Z,none,"DOI 10.1136/bmjopen-2021-059741; ChiCTR2100052650; ICU population is not necessarily perioperative, but publication type already excludes the record."
59,075,341,Wearable transcutaneous electrical acupoint stimulation bracelet for prevention of postoperative nausea and vomiting in patients undergoing hysteroscopic surgery: a randomised controlled trial.,Wang,2022,English,no,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,"The title identifies a randomized TEAS trial for PONV prevention during hysteroscopic surgery, but no abstract is available and the anaesthetic technique is not stated.","Potentially eligible TEAS RCT; full text is needed to verify general anaesthesia, comparator, stimulation timing, and report details.",high,journal_article,results,unclear,no,unclear,yes,unclear,unclear,not_applicable,yes,unclear,The title describes PONV prevention but does not report when bracelet stimulation began.,no,no,no,yes,2026-07-23T15:26:37.004Z,none,DOI 10.1016/j.bja.2022.06.028; no abstract supplied in Covidence.
60,075,343,The Effect of Electroacupuncture Preconditioning on Regional Cerebral Oxygen Saturation Levels in Elderly Patients with Diabetes.,Ning,2022,English,yes,No,EXCLUDE_NO_GENERAL_ANAESTHESIA,"The methods explicitly state that both randomized groups underwent diabetic foot surgery using a sciatic nerve block, with no general anaesthesia.",Operative RCT used regional nerve-block anaesthesia without general anaesthesia.,high,journal_article,results,yes,no,no,yes,usual_care,yes,not_applicable,yes,yes,EA was administered 30 minutes before anaesthesia.,yes,no,no,yes,2026-07-23T15:27:04.563Z,none,DOI 10.2147/DMSO.S370974; ChiCTR2100048783; cerebral oxygen saturation was the only reported outcome.
61,075,344,[Effect of electroacupuncture on gastrointestinal function of patients after laparoscopic cholecystectomy under general anesthesia].,Pang,2022,Chinese,yes,Yes,INCLUDE_CLEAR,"Randomized three-arm trial after laparoscopic cholecystectomy under general anaesthesia; EA began one hour after surgery and was compared with both routine care and manual acupuncture, with gastrointestinal recovery and pain outcomes reported.","Clear perioperative EA RCT with eligible timing, general anaesthesia, a separable usual-care comparison, and clinical recovery outcomes.",high,journal_article,results,yes,no,yes,yes,usual_care_and_manual_acupuncture,yes,not_applicable,yes,yes,"The first EA session was conducted one hour after surgery, followed by two sessions on postoperative day 1.",no,yes,no,yes,2026-07-23T15:27:35.923Z,none,"DOI 10.13702/j.1000-0607.20210711; English abstract available, but full-text translation may be required."
62,075,347,"A commentary on ""Transcutaneous electrical acupoint stimulation for preventing postoperative nausea and vomiting after general anesthesia: A meta-analysis of randomized controlled trials""(Int J Surg 2020;73:57-64).",Hei,2022,English,no,No,EXCLUDE_PUBLICATION_TYPE,"The title explicitly identifies the publication as a commentary on a meta-analysis, not a randomized trial report.",Commentary; no eligible original randomized clinical results.,high,commentary,neither,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:28:03.582Z,none,DOI 10.1016/j.ijsu.2022.106710; no abstract supplied in Covidence.
63,075,348,A combination of electroacupuncture and auricular acupuncture for postoperative pain after abdominal surgery for gynaecological diseases: A randomized controlled trial.,Lam,2022,English,yes,No,EXCLUDE_INSEPARABLE_INTERVENTION,"The active intervention intentionally combined electroacupuncture with auricular acupuncture and compared the combined package with sham, so the independent EA effect cannot be separated.",EA was inseparable from explicitly excluded auricular acupuncture.,high,journal_article,results,yes,no,unclear,yes,sham_combination,yes,not_applicable,no,yes,The combined treatment included one preoperative session and postoperative daily sessions beginning on day 0.,no,no,no,yes,2026-07-23T15:28:30.342Z,none,"DOI 10.1016/j.phymed.2022.154292; excluded because the EA effect is inseparable from auricular acupuncture, despite randomized sham control and eligible pain outcomes."
64,075,349,Electroacupuncture Alleviates Thalamic Pain in Rats by Suppressing ADCY1 Protein Upregulation.,Ma,2022,English,yes,No,EXCLUDE_ANIMAL,The publication is explicitly a controlled animal study using male Sprague-Dawley rats.,Animal experiment; no eligible adult surgical population.,high,journal_article,results,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:28:52.099Z,none,No DOI displayed in Covidence; PMID/Ref ID 35793187.
65,075,350,Transcutaneous Electrical Acupoint Stimulation Combined With Auricular Acupressure Reduces Postoperative Delirium Among Elderly Patients Following Major Abdominal Surgery: A Randomized Clinical Trial.,Fan,2022,English,yes,No,EXCLUDE_INSEPARABLE_INTERVENTION,"The intervention group received TEAS from before anaesthesia through surgery followed by auricular acupressure for three postoperative days, while the comparator received standard care; the independent TEAS effect cannot be separated.",TEAS was inseparable from an auricular acupressure co-intervention.,high,journal_article,results,yes,no,yes,yes,usual_care,unclear,not_applicable,no,yes,TEAS started 30 minutes before anaesthesia and continued until the end of surgery.,no,no,no,yes,2026-07-23T15:29:13.695Z,none,"DOI 10.3389/fmed.2022.855296; NCT03726073; eligible delirium, opioid, pain, sleep, length-of-stay, and complication outcomes do not overcome intervention inseparability."
66,075,351,"Effect of acupuncture on postoperative ileus after laparoscopic elective colorectal surgery: A prospective, randomised, controlled trial.",Yang,2022,English,yes,Maybe,UNCERTAIN_TIMING,"Prospective randomized trial of two separable EA regimens plus standard care versus standard care alone with eligible gastrointestinal recovery outcomes, but treatment is described only as starting on postoperative day 1.",Otherwise eligible EA RCT; exact time of the first POD1 session must be verified as within 24 hours.,high,journal_article,results,yes,no,unclear,yes,usual_care,yes,unclear,yes,unclear,EA was administered once daily on postoperative days 1–4; the exact clock time of the first session is not stated.,no,no,no,yes,2026-07-23T15:29:36.553Z,none,"DOI 10.1016/j.eclinm.2022.101472; ChiCTR1900027466; laparoscopic colorectal resection likely used general anaesthesia, but this is not explicit in the abstract."
67,075,352,"Effect of Electroacupuncture Based on ERAS for Preoperative Anxiety in Breast Cancer Surgery: A Single-Center, Randomized, Controlled Trial.",Tong,2022,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,"Randomized four-arm trial of preoperative, intraoperative, combined pre/intraoperative EA, or conventional care during breast-conserving surgery; reports postoperative pain, PONV, quality of recovery, sleep, complications, and adverse reactions, but the anaesthetic technique is not stated.",Eligible outcomes and perioperative EA are clear; full text is needed to verify general anaesthesia.,high,journal_article,results,yes,no,unclear,yes,usual_care,yes,yes,yes,yes,"EA was delivered preoperatively, intraoperatively, or in both periods depending on randomized arm.",no,no,no,yes,2026-07-23T15:29:58.957Z,none,DOI 10.1016/j.clbc.2022.04.010; ChiCTR1800019979; retained because postoperative outcomes extend well beyond preoperative anxiety.
68,075,354,"Transcutaneous Electrical Acupoint Stimulation Improved Preoperative Blood Pressure in Gynecological Malignant Tumor Patients With Hypertension: A Randomized, Controlled Trial.",Chen,2022,English,yes,No,EXCLUDE_INELIGIBLE_ACTIVE_COMPARATOR,"The control group received transcutaneous electrical stimulation at non-acupoint upper-limb locations rather than sham TEAS, usual care, or no stimulation; the abstract also reports only peri-induction blood-pressure outcomes.","Only an ineligible active non-acupoint electrical comparator was used, with no eligible postoperative clinical outcome reported.",high,journal_article,results,yes,no,yes,yes,active_nonacupoint_electrical_stimulation,yes,not_applicable,yes,yes,TEAS was delivered before induction in the operating room.,yes,no,no,yes,2026-07-23T15:30:34.548Z,none,"DOI 10.3389/fonc.2022.906528; ChiCTR2100054336; reported outcomes were preinduction hypertension, postinduction hypotension, and blood-pressure measurements only."
69,075,355,The Preventive Effect of Transcutaneous Electrical Acupoint Stimulation on Postoperative Delirium in Elderly Patients with Time Factors: A Randomized Trial.,Ding,2022,English,yes,Yes,INCLUDE_CLEAR,"Randomized three-arm trial comparing preoperative TEAS, intraoperative TEAS, and electrode placement without electrical stimulation; treatment occurred before induction or during surgery and postoperative delirium was assessed.",Clear sham-controlled perioperative TEAS RCT with eligible timing and postoperative delirium outcome.,high,journal_article,results,yes,no,yes,yes,sham_TEAS,yes,not_applicable,yes,yes,Preoperative TEAS was applied one day before surgery and again before induction; a separate arm received TEAS intraoperatively.,no,no,no,yes,2026-07-23T15:31:01.638Z,none,DOI 10.1089/jicm.2021.0141; ChiCTR-INR-17012501; reports delirium and propofol requirement plus inflammatory biomarkers.
70,075,357,Effect Observation of Electro-Acupuncture Anesthesia Combined with General Anesthesia in Elderly Patients Undergoing Gastrointestinal Tumor Resection.,Xu,2022,English,yes,Yes,INCLUDE_CLEAR,"Random-number allocation compared EA combined with general anaesthesia against general anaesthesia alone in 118 elderly gastrointestinal tumor resection patients; reports postoperative pain, agitation, recovery time, and anaesthetic adverse reactions.",Clear perioperative EA RCT under general anaesthesia with a separable supportive usual-care comparison and eligible clinical outcomes.,high,journal_article,results,yes,no,yes,yes,usual_care_general_anaesthesia,yes,not_applicable,yes,yes,EA was used as part of the anaesthetic technique during gastrointestinal tumor resection.,no,no,no,yes,2026-07-23T15:31:31.577Z,none,DOI 10.3389/fsurg.2022.901638; additional biomarker and immune outcomes were reported.
71,075,358,Additional Benefit of Intraoperative Electroacupuncture in Improving Tolerance of Deep Brain Stimulation Surgical Procedure in Parkinsonian Patients.,Raoul,2022,English,yes,No,EXCLUDE_NO_GENERAL_ANAESTHESIA,"The abstract explicitly states that DBS implantation was performed under local anaesthesia alone in the control group, with EA added to the same local-anaesthesia procedure in the intervention group.",Operative randomized EA study used local anaesthesia without general anaesthesia.,high,journal_article,results,yes,no,no,yes,usual_care_local_anaesthesia,yes,not_applicable,yes,yes,EA was performed intraoperatively during DBS implantation.,no,no,no,yes,2026-07-23T15:31:58.038Z,none,"DOI 10.3390/jcm11102680; reports symptom burden, well-being, and delirium but fails the anaesthesia criterion."
72,075,359,Effects of Preoperative Electroacupuncture on Remifentanil-Induced Post-Infusion Hyperalgesia in Patients Undergoing Thyroidectomy: A Double-Blind Randomized Controlled Trial.,Li,2022,English,yes,Yes,INCLUDE_CLEAR,"Double-blind randomized trial of EA at ST36/PC6 versus sham EA 24 hours before thyroidectomy; standardized remifentanil exposure and reported postoperative pain, rescue analgesia, and adverse reactions.","Clear preoperative EA sham-controlled RCT with eligible timing, general anaesthetic opioid use, and postoperative clinical outcomes.",high,journal_article,results,yes,no,yes,yes,sham_EA,yes,not_applicable,yes,yes,EA was delivered 24 hours before surgery.,no,no,no,yes,2026-07-23T15:32:19.391Z,none,DOI 10.2147/JPR.S365587; remifentanil was administered at the same rate in both groups.
73,075,360,Effect of Early Electroacupuncture Combined with Enhanced Recovery after Surgery (ERAS) on Pain Perception and Dysfunction in Patients after Total Knee Arthroplasty (TKA).,Zhang,2022,English,yes,No,EXCLUDE_INELIGIBLE_ACTIVE_COMPARATOR,"Both retrospective case-control groups received early electroacupuncture; the comparison added ERAS only in the study group, so no eligible EA-versus-sham, usual-care, or no-stimulation effect can be estimated. The study is also explicitly retrospective and non-randomized.","EA was common to both non-randomized groups; the study estimates the effect of adding ERAS, not EA.",high,journal_article,results,yes,no,unclear,no,EA_in_both_groups,no,no,no,unclear,EA was described only as early postoperative treatment; exact first-session timing is not reported.,no,no,no,yes,2026-07-23T15:32:48.989Z,none,DOI 10.1155/2022/6560816; explicitly a retrospective case-control study despite wording that patients were arbitrarily assigned.
74,075,362,Transcutaneous Electrical Acupoint Stimulation Improves Postoperative Cognitive Function in Senior Patients Undergoing Video-Assisted Thoracoscopic Surgery: A Randomized Controlled Trial.,Wei,2022,English,yes,Yes,INCLUDE_CLEAR,Random-number-table trial of TEAS at PC6/ST36 versus sham TEAS beginning 30 minutes before VATS and continuing through surgery; reports postoperative cognitive dysfunction and adverse events.,Clear sham-controlled perioperative TEAS RCT with eligible timing and postoperative cognitive outcome.,high,journal_article,results,yes,no,yes,yes,sham_TEAS,yes,not_applicable,yes,yes,TEAS started 30 minutes before surgery and continued until the end of the operation.,no,no,no,yes,2026-07-23T15:33:15.257Z,none,DOI 10.1007/s11655-022-3516-1; VATS ordinarily requires general anaesthesia and the intraoperative stimulation window supports this context.
75,075,364,Effect of electroacupuncture on discomfort during gastroscopy: a study protocol for a randomized controlled trial.,Yu,2022,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,"The title and abstract explicitly identify a study protocol, use future tense throughout, and report no randomized clinical results.",Protocol only; no clinical results are reported.,high,protocol,protocol,no,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:33:42.891Z,none,DOI 10.1186/s13063-022-06165-4; ChiCTR2000040726; planned gastroscopy without systemic sedation is also outside the operative general-anaesthesia scope.
76,100,367,Re: Smartphone-controlled patch electro-acupuncture versus conventional pain relief during colonoscopy: a randomized controlled trial.,Sha,2022,English,no,No,EXCLUDE_PUBLICATION_TYPE,"The title begins with 'Re:' and the one-page citation has no abstract, identifying it as correspondence about another trial rather than an original randomized results report.","Correspondence/letter, not the original clinical trial report.",high,letter,neither,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,yes,yes,2026-07-23T15:34:48.139Z,none,"DOI 10.1111/ans.17403; may point to a separate colonoscopy trial, but colonoscopy is also non-operative and generally outside the general-anaesthesia surgery scope."
77,100,368,"Electroacupuncture versus sham electroacupuncture in the treatment of postoperative ileus after laparoscopic surgery for colorectal cancer: study protocol for a multicentre, randomised, sham-controlled trial.",Zou,2022,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,"The title and abstract explicitly identify a study protocol, use future tense, and report no randomized clinical results.",Protocol only; no clinical results are reported.,high,protocol,protocol,no,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,yes,yes,2026-07-23T15:35:09.269Z,none,DOI 10.1136/bmjopen-2021-050000; ChiCTR2000038444; protocol companion to the Wang 2023 JAMA Surgery results report already screened as Covidence #333.
78,100,370,Transcutaneous Electrical Acupoint Stimulation Decreases the Incidence of Postoperative Nausea and Vomiting After Laparoscopic Non-gastrointestinal Surgery: A Multi-Center Randomized Controlled Trial.,Gao,2022,English,yes,Yes,INCLUDE_CLEAR,"Multicenter randomized trial in 1,655 laparoscopic surgical patients under general anaesthesia; TEAS at PC6/ST36 began after anaesthetic recovery on the day of surgery and was compared with identical sham without current, with PONV and quality-of-recovery outcomes.",Clear sham-controlled postoperative TEAS RCT under general anaesthesia with eligible timing and clinical outcomes.,high,journal_article,results,yes,no,yes,yes,sham_TEAS,yes,not_applicable,yes,yes,"The first TEAS session was given after recovery from anaesthesia on the surgical day, with another session the next morning.",no,no,no,yes,2026-07-23T15:35:41.799Z,none,DOI 10.3389/fmed.2022.766244; NCT04043247.
79,100,371,On the Effect of Electroacupuncture in Promoting Healing after High Tibial Osteotomy.,Tian,2022,English,yes,No,EXCLUDE_TIMING,"The randomized EA intervention explicitly began on the third postoperative day, later than the end of the eligible first 24 postoperative hours.","First EA session began on postoperative day 3, clearly outside the timing window.",high,journal_article,results,yes,no,unclear,yes,usual_care,yes,not_applicable,yes,no,EA was added from the third day after high tibial osteotomy.,no,no,no,yes,2026-07-23T15:36:07.272Z,none,"DOI 10.1155/2022/6428759; clinical outcomes included pain, healing, swelling, and knee function."
80,100,372,Clinical Study on the Combination of Transcutaneous Electrical Acupoint Stimulation and Lidocaine for Preventing Propofol Injection Pain.,Jin,2022,English,yes,Yes,INCLUDE_CLEAR,"Four-arm randomized hysteroscopic-surgery trial included saline, lidocaine, TEAS, and lidocaine-plus-TEAS groups, allowing independent TEAS comparisons; TEAS was given before anaesthetic induction and postoperative PONV, abdominal symptoms, bleeding, and recovery were reported.",Peri-induction TEAS RCT with separable intervention arms and eligible postoperative clinical outcomes.,high,journal_article,results,yes,no,yes,yes,saline_usual_care_and_lidocaine,yes,not_applicable,yes,yes,TEAS was administered for 30 minutes before anaesthesia induction.,no,no,no,yes,2026-07-23T15:36:42.438Z,none,DOI 10.2147/JPR.S356150; TEAS-alone versus saline and TEAS-plus-lidocaine versus lidocaine comparisons isolate TEAS.
81,100,373,Use of transcutaneous electrical acupoint stimulation in pulmonary surgery for patients with tuberculosis.,Xu,2022,English,yes,No,EXCLUDE_NO_ELIGIBLE_OUTCOME,"The abstract clearly reports only inflammatory mediators, lymphocyte subsets, and natural-killer-cell measurements; no postoperative clinical recovery outcome or adverse event was collected or reported.","Otherwise eligible perioperative sham-controlled TEAS RCT, but it is exclusively mechanistic/biomarker-focused.",high,journal_article,results,yes,no,yes,yes,sham_TEAS,yes,not_applicable,yes,yes,TEAS began 30 minutes before anaesthesia induction and continued until surgery ended.,yes,no,no,yes,2026-07-23T15:37:03.098Z,none,"DOI 10.1016/j.jctube.2022.100298; randomized sham-controlled thoracotomy trial under general anaesthesia, excluded solely for outcome scope."
82,100,374,[Effect of electroacupuncture on laparoscope postoperative shivering in patients undergoing general anesthesia].,Fang,2022,Chinese,yes,No,EXCLUDE_INELIGIBLE_ACTIVE_COMPARATOR,"The randomized trial compared intraoperative EA only with intravenous tramadol and included no sham EA, usual-care, or no-stimulation arm.",EA was tested solely against an ineligible active drug comparator.,high,journal_article,results,yes,no,yes,yes,tramadol,unclear,not_applicable,yes,yes,EA started 30 minutes before the end of surgery and lasted 30 minutes.,no,yes,no,yes,2026-07-23T15:37:23.557Z,none,"DOI 10.13703/j.0255-2930.20210413-k0006; reports PACU shivering, PONV, dizziness, agitation, choking, and physiologic outcomes."
83,100,375,[Ultrasound-guided electroacupuncture at suprahyoid muscle group for pharyngeal dysphagia after stroke: a randomized controlled trial].,Jin,2022,Chinese,yes,No,EXCLUDE_NON_SURGICAL,The trial treated chronic pharyngeal dysphagia after stroke and involved no operative surgical episode.,Non-surgical stroke rehabilitation population.,high,journal_article,results,yes,no,not_applicable,yes,other_EA_techniques,unclear,not_applicable,yes,not_applicable,No operative perioperative period was present.,no,yes,no,yes,2026-07-23T15:37:49.117Z,none,DOI 10.13703/j.0255-2930.20210224-0001; randomized comparison of EA techniques for post-stroke dysphagia.
84,100,376,Combined electroacupuncture and auricular acupuncture to alleviate pain after gynaecological abdominal surgery: a randomised sham-controlled trial (abridged secondary publication).,Lam,2022,English,no,No,EXCLUDE_INSEPARABLE_INTERVENTION,"The title explicitly identifies a combined electroacupuncture and auricular acupuncture intervention, so the independent EA effect cannot be separated; it is also an abridged secondary publication.",EA is inseparable from excluded auricular acupuncture in a secondary report.,high,secondary_publication,results,unclear,no,unclear,yes,sham_combination,unclear,not_applicable,no,unclear,No abstract was available; the companion primary report used perioperative treatment.,no,no,yes,yes,2026-07-23T15:38:09.763Z,none,Abridged secondary publication companion to Lam 2022 primary report at Covidence #348; no DOI or abstract displayed.
