record_id,study,family,outcome,window,intervention,comparator,modality_before,modality_after,modality_basis,comparator_before,comparator_after,comparator_basis,resolved
V33-OD-0269,Wu 2016,ponv,Postoperative nausea/vomiting incidence,Postoperative period; exact window not reported,Perioperative true-acupoint TAES (LI4/PC6/SI3/SJ6),Active nonacupoint electrical stimulation (identical 2/100-Hz current),MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0270,Wu 2016,ponv,Postoperative nausea/vomiting incidence,Postoperative period; exact window not reported,Perioperative true-acupoint TAES (LI4/PC6/SI3/SJ6),No-TAES thoracotomy control,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Usual care,no-device marker 'no-taes',YES
V33-OD-0331,Song 2020,ponv,Nausea and vomiting adverse event,0-24 h,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
AUDIT-0320,Wang 2024,ponv,PONV incidence,0–2 h,SNVP: ondansetron+dexamethasone+TEAS (SNVP-ODT),SNVP: ondansetron+dexamethasone (SNVP-OD),TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
AUDIT-0321,Wang 2024,ponv,PONV incidence,2–6 h,SNVP: ondansetron+dexamethasone+TEAS (SNVP-ODT),SNVP: ondansetron+dexamethasone (SNVP-OD),TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
AUDIT-0322,Wang 2024,ponv,PONV incidence,24–36 h,SNVP: ondansetron+dexamethasone+TEAS (SNVP-ODT),SNVP: ondansetron+dexamethasone (SNVP-OD),TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
AUDIT-0324,Wang 2024,ponv,PONV incidence,6–12 h,MNVP: ondansetron+dexamethasone+TEAS (MNVP-ODT),MNVP: ondansetron+dexamethasone (MNVP-OD),TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
AUDIT-0325,Wang 2024,ponv,PONV incidence,12–24 h,MNVP: ondansetron+dexamethasone+TEAS (MNVP-ODT),MNVP: ondansetron+dexamethasone (MNVP-OD),TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
AUDIT-0326,Wang 2024,ponv,PONV incidence,24–36 h,MNVP: ondansetron+dexamethasone+TEAS (MNVP-ODT),MNVP: ondansetron+dexamethasone (MNVP-OD),TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
V33-OD-0004,Lin 2002,postoperative_opioid_other_windows,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),100-Hz EA,Untreated control,EA,EA,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,no-device marker 'untreated',YES
V33-OD-0005,Lin 2002,postoperative_opioid_other_windows,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),2-Hz EA,Untreated control,EA,EA,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,no-device marker 'untreated',YES
V33-OD-0038,Zhan 2020,postoperative_opioid_other_windows,Actual cumulative postoperative sufentanil consumption,0-24 h,TAP block + postoperative TEAS,TAP block,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
V33-OD-0059,Xiong 2021,postoperative_opioid_other_windows,Postoperative opioid consumption,Postoperative window unclear,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention minus the stimulation component,YES
V33-OD-0060,Xiong 2021,postoperative_opioid_other_windows,Exact cumulative postoperative opioid dose,0-24 h,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention minus the stimulation component,YES
V33-OD-0067,Xie 2014,postoperative_opioid_other_windows,Total postoperative/perioperative sufentanil,Study PCA period; exact fixed window unclear,Active EAS PC4/PC6,Sham needling PC4/PC6,MODALITY_REVIEW_REQUIRED,EA,canonical study-level modality from the review's study list,Sham,Sham,already set,YES
V33-OD-0068,Xie 2014,postoperative_opioid_other_windows,Total postoperative/perioperative sufentanil,Study PCA period; exact fixed window unclear,Active EAS PC4/PC6,General-anesthesia control,MODALITY_REVIEW_REQUIRED,EA,canonical study-level modality from the review's study list,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention minus the stimulation component,YES
V33-OD-0069,Xie 2014,postoperative_opioid_other_windows,Patient-controlled analgesia demand count,Study PCA period,Active EAS PC4/PC6,Sham needling PC4/PC6,MODALITY_REVIEW_REQUIRED,EA,canonical study-level modality from the review's study list,Sham,Sham,already set,YES
V33-OD-0070,Xie 2014,postoperative_opioid_other_windows,Exact cumulative postoperative sufentanil,0-24 h,Active EAS PC4/PC6,Sham needling PC4/PC6,MODALITY_REVIEW_REQUIRED,EA,canonical study-level modality from the review's study list,Sham,Sham,already set,YES
V33-OD-0093,Wang 2024,postoperative_opioid_other_windows,Postoperative opioid consumption,0-24 h,TEAS within risk strata,OD within risk strata,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention minus the stimulation component,YES
V33-OD-0125,Ma 2026,postoperative_opioid_other_windows,Cumulative postoperative opioid consumption,0-24 h,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,no-device marker 'no teas',YES
V33-OD-0184,Lee 2011,postoperative_opioid_other_windows,Cumulative IV PCA morphine delivered,First 24 postoperative hours,Low-frequency dense-sparse SSP,Sham SSP,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'ssp',Sham,Sham,already set,YES
V33-OD-0185,Lee 2011,postoperative_opioid_other_windows,Cumulative IV PCA morphine delivered,First 24 postoperative hours,100-Hz SSP,Sham SSP,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'ssp',Sham,Sham,already set,YES
V33-OD-0186,Lee 2011,postoperative_opioid_other_windows,Cumulative IV PCA morphine delivered,First 24 postoperative hours,Low-frequency dense-sparse SSP,Untreated control,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'ssp',CONTROL_TYPE_REVIEW_REQUIRED,Usual care,no-device marker 'untreated',YES
V33-OD-0243,Yeh 2010,postoperative_opioid_other_windows,24-h morphine PCA dose,First 24 postoperative hours,True-acupoint AES,Electrical sham/nonmeridian AES,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'aes',Sham,Sham,already set,YES
V33-OD-0244,Yeh 2010,postoperative_opioid_other_windows,24-h morphine PCA dose,First 24 postoperative hours,True-acupoint AES,No-AES control,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'aes',CONTROL_TYPE_REVIEW_REQUIRED,Usual care,no-device marker 'no-aes',YES
V33-OD-0245,Yeh 2011,postoperative_opioid_other_windows,24-h IV morphine PCA dose,First 24 postoperative hours,True-acupoint AES,Electrical sham/nonacupoint AES,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'aes',Sham,Sham,already set,YES
V33-OD-0246,Yeh 2011,postoperative_opioid_other_windows,24-h IV morphine PCA dose,First 24 postoperative hours,True-acupoint AES,No-AES control,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'aes',CONTROL_TYPE_REVIEW_REQUIRED,Usual care,no-device marker 'no-aes',YES
V33-OD-0263,Wu 2016,postoperative_opioid_other_windows,Exact cumulative postoperative opioid/tramadol consumption,0-24 h,Perioperative true-acupoint TAES (LI4/PC6/SI3/SJ6),Active nonacupoint electrical stimulation (identical 2/100-Hz current),MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0264,Wu 2016,postoperative_opioid_other_windows,Exact cumulative postoperative opioid/tramadol consumption,0-24 h,Perioperative true-acupoint TAES (LI4/PC6/SI3/SJ6),No-TAES thoracotomy control,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Usual care,no-device marker 'no-taes',YES
V33-OD-0299,Oztas 2019,postoperative_opioid_other_windows,Cumulative IV PCA tramadol HCl consumption,0-24 h,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',Usual care,Usual care,already set,YES
V33-OD-0300,Oztas 2019,postoperative_opioid_other_windows,Cumulative IV PCA tramadol HCl consumption,0-24 h,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'incision-periphery tens',YES
V33-OD-0301,Oztas 2019,postoperative_opioid_other_windows,Cumulative IV PCA tramadol HCl consumption,24-48 h,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',Usual care,Usual care,already set,YES
V33-OD-0302,Oztas 2019,postoperative_opioid_other_windows,Cumulative IV PCA tramadol HCl consumption,24-48 h,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'incision-periphery tens',YES
V33-OD-0351,Szmit 2021,postoperative_opioid_other_windows,Total IV PCA morphine dose,0–24 h postoperative,Postoperative TEAS: bilateral LI4 + ipsilateral peri-incisional ashi points; alternating 2/100 Hz; 30 min every 2 h through 24 h,PCA only / no TEAS,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,no-device marker 'no teas',YES
V33-OD-0356,Zhang 2018,postoperative_opioid_other_windows,Exact cumulative postoperative opioid consumption,0–24 h,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,MODALITY_REVIEW_REQUIRED,EA,needle marker 'needle',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'non-acupoint',YES
V33-OD-0058,Xiong 2021,rescue_antiemetic,Any rescue antiemetic medication,Within 48 h,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention minus the stimulation component,YES
V33-OD-0273,Wu 2016,rescue_opioid_frequency,Rescue IV tramadol requirement,Postoperative period; exact window not reported,Perioperative true-acupoint TAES (LI4/PC6/SI3/SJ6),No-TAES thoracotomy control,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Usual care,no-device marker 'no-taes',YES
V33-OD-0303,Oztas 2019,rescue_opioid_frequency,Rescue IM pethidine HCl consumption,0-24 h,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',Usual care,Usual care,already set,YES
V33-OD-0304,Oztas 2019,rescue_opioid_frequency,Rescue IM pethidine HCl consumption,0-24 h,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'incision-periphery tens',YES
V33-OD-0305,Oztas 2019,rescue_opioid_frequency,Rescue IM pethidine HCl consumption,24-48 h,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',Usual care,Usual care,already set,YES
V33-OD-0306,Oztas 2019,rescue_opioid_frequency,Rescue IM pethidine HCl consumption,24-48 h,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'incision-periphery tens',YES
V33-OD-0323,Oztas 2019,rescue_opioid_frequency,Complete combined postoperative opioid exposure (tramadol + rescue pethidine),0-24 h,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',Usual care,Usual care,already set,YES
V33-OD-0124,Ma 2026,vomiting,Vomiting,24 h,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,no-device marker 'no teas',YES
V33-OD-0322,Oztas 2019,vomiting,Vomiting occurrence,0-24 h,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',Usual care,Usual care,already set,YES
AUDIT-0323,Wang 2024,vomiting,Vomiting incidence,0–6 h combined,SNVP: ondansetron+dexamethasone+TEAS (SNVP-ODT),SNVP: ondansetron+dexamethasone (SNVP-OD),TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
