assessment_id,study,outcome,window,comparison,population,d1,d2,d3,d4,d5,overall,provenance,source,human_signoff_date,result_id,d1_rationale,d2_rationale,d3_rationale,d4_rationale,d5_rationale,overall_rationale,reviewer,review_date,effect_of_interest,source_pdf,source_sha256,source_text,result_location
AF26-F-exposure-004,Ntritsou 2014,Remifentanil consumption,Intraoperative,NTRI14_EA_vs_SHAM_REMI,35/35,Some concerns,Some concerns,Low,Low,Some concerns,Some concerns,Intraoperative anesthetists knew allocation.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-exposure-004,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-exposure-005,Sun 2017,Author-defined intraoperative morphine-equivalent exposure,Intraoperative,SUN17_INTRAOP_MORPH_EQUIV,91/90,Low,Some concerns,Some concerns,Low,Some concerns,Some concerns,Author conversion not automatically IV-MME.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-exposure-005,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-exposure-006,Jiang 2026,Remifentanil consumption,Intraoperative,JIANG26_TEAS_vs_SHAM_INTRAOP_REMI,294/293,Low,Some concerns,Some concerns,Some concerns,Some concerns,Some concerns,Titration algorithm/anesthesiologist masking incompletely reported.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-exposure-006,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-exposure-007,Wu 2025,Sufentanil consumption,Intraoperative,WU25_TEAS_vs_SHAM_INTRAOPSUF,50/50,Some concerns,Low,Low,Some concerns,Some concerns,Some concerns,Randomization/TEAS occurred after surgery in PACU.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-exposure-007,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-exposure-007,Wu 2025,Remifentanil consumption,Intraoperative,WU25_TEAS_vs_SHAM_INTRAOPREMI,50/50,Some concerns,Low,Low,Some concerns,Some concerns,Some concerns,Randomization/TEAS occurred after surgery in PACU.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-exposure-007,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-intra-001,Liu 2026 (burn),Remifentanil consumption,Intraoperative,LIU26BURN_TEAS_vs_SHAM_REMI,43/43,Low,Some concerns,Low,Low,Some concerns,Some concerns,Abstract values differ from main text.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-intra-001,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-intra-002,Hou 2023,Intraoperative remifentanil consumption,Intraoperative,HOU23_TEAS_vs_SHAM_REMI,36/36,Some concerns,Some concerns,Low,Low,Some concerns,Some concerns,TCI target range; within-range algorithm incomplete.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-intra-002,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-intra-003,Zhang 2014,Remifentanil consumption rate,Intraoperative,ZHANG14_TEAS_vs_SHAM_REMI,33/32,Some concerns,Low,Low,Low,Some concerns,Some concerns,Blinded titrating anesthesiologist.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-intra-003,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-intra-004,Huang 2017,Total opioid as remifentanil-equivalent rate,Intraoperative,HUANG17_2100_vs_CTRL_REMI,20/20,Some concerns,Some concerns,Low,Low,Some concerns,Some concerns,Titrating anesthesiologist masking not reported.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-intra-004,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-intra-005,Sim 2002,Alfentanil requirement rate,Intraoperative,SIM02_PREOP_vs_PLACEBO_ALFENT,30/30,Some concerns,Some concerns,Low,Low,Some concerns,Some concerns,"Relevant comparison is preop EA vs placebo, not preop vs postop.",06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-intra-005,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-intra-006,Wu 2022,Cumulative remifentanil,Intraoperative,WU22_PTEAS_vs_CTRL_REMI,44/40,Some concerns,Some concerns,Some concerns,Low,Some concerns,Some concerns,"6/90 excluded, imbalance 1 vs5.",06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-intra-006,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-intra-007,Xing 2022,Total remifentanil consumption,Intraoperative,XING22_NTG_vs_NG_REMI,29/29,Low,Some concerns,Low,Low,Some concerns,Some concerns,NTG vs NG; anesthesiologist blinded.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-intra-007,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-intra-008,Lu 2021,Total remifentanil,Intraoperative,LU21_COMB_vs_SHAM_REMI,190/188,Low,Low,Low,Low,Some concerns,Some concerns,One of the cleanest blinded titration results.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-intra-008,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-intra-009,Zheng 2025,Total intraoperative remifentanil consumption,Intraoperative,ZHENG25_TEAS_vs_SHAM_REMI,42/43,Low,Some concerns,Low,Low,Some concerns,Some concerns,Anesthesiologist explicitly unblinded.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-intra-009,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-intra-010,Guo 2023,Remifentanil consumption,Intraoperative,GUO23_TEAS_vs_SHAM_REMI,55/55,Some concerns,Some concerns,Some concerns,Low,Some concerns,Some concerns,18/128 randomized excluded.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-intra-010,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-intra-011,Yang 2024,Intraoperative remifentanil consumption,Intraoperative,YANG24_EA_vs_UC_REMI,90/90,Low,Low,Low,Low,Some concerns,Some concerns,Preoperative EA occurred before surgery; anesthetist blinded.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-intra-011,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-intra-012,Liang 2021,Intraoperative remifentanil consumption,Intraoperative,LIANG21_TEAS_vs_CTRL_REMI,35/35,Low,Some concerns,Some concerns,Low,Some concerns,Some concerns,5/75 excluded; printed sufentanil unit anomaly.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-intra-012,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-intra-013,Pan 2023,Intraoperative remifentanil consumption,Intraoperative,PAN23_TEAS_vs_CONTROL_REMI,52/53,Some concerns,High,High,Some concerns,Some concerns,High,15/120 excluded.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-intra-013,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-mixed/undefined-001,Wang 2023,Cumulative number of additional rescue-analgesia doses,0-72 h,WANG23_TEAS_vs_SHAM_RESCUEDOSE,40/43,Low,Some concerns,Some concerns,Some concerns,Some concerns,Some concerns,"Drug, dose and trigger unspecified.",06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-mixed/undefined-001,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-mixed/undefined-002,Zhang 2025,Any rescue analgesia demand,POD1 / postoperative period reported in Table 4,ZHANG25_TEAS_vs_SHAM_RESCUE,45/48,Low,Some concerns,Some concerns,Some concerns,Some concerns,Some concerns,Mixed PACU sufentanil / ward indomethacin; printed RR/CI/P inconsistent.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-mixed/undefined-002,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-mixed/undefined-003,Wu 2025,Parecoxib sodium rescue-use metric,Initial 24 h,WU25_TEAS_vs_SHAM_RESCUE_PARECOX24,50/50,Some concerns,Low,Low,Some concerns,Some concerns,Some concerns,Units and drug-choice algorithm unclear.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-mixed/undefined-003,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-mixed/undefined-003,Wu 2025,Oxycodone + acetaminophen rescue-use metric,Initial 24 h,WU25_TEAS_vs_SHAM_RESCUE_OXYAPAP24,50/50,Some concerns,Low,Low,Some concerns,Some concerns,Some concerns,Units and drug-choice algorithm unclear.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-mixed/undefined-003,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-mixed/undefined-003,Wu 2025,Compound paracetamol rescue-use metric,Initial 24 h,WU25_TEAS_vs_SHAM_RESCUE_PARACET24,50/50,Some concerns,Low,Low,Some concerns,Some concerns,Some concerns,Units and drug-choice algorithm unclear.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-mixed/undefined-003,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-mixed/undefined-004,Liang 2021,Published 'extra analgesia' metric,Not reported,LIANG21_TEAS_vs_CTRL_EXTRAANALG,35/35,—,—,—,—,—,—,Drug/unit/window/metric unclear.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-mixed/undefined-004,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-mixed/undefined-005,Yang 2020,Participants receiving rescue bucinnazine,Postoperative; exact cumulative window not reported,YANG20_EA_vs_UC_BUCINNAZINE,29/28,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,Exact cumulative time window not reported.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-mixed/undefined-005,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-mixed/undefined-006,Yang 2024,Participants receiving rescue bucinnazine,Postoperative; exact cumulative window not reported,YANG24_EA_vs_UC_BUCINNAZINE,90/90,Low,Low,Low,Some concerns,Some concerns,Some concerns,Exact cumulative time window not reported.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-mixed/undefined-006,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-mixed/undefined-007,Zhou 2021,Any postoperative opioid use,Postoperative window not clearly defined as 0-24 h,ZHOU21_TEAS_vs_UC_OPIOIDUSE,41/40,Some concerns,Some concerns,Low,High,Some concerns,High,Time window unclear; morphine-equivalent rule internally inconsistent.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-mixed/undefined-007,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-mixed/undefined-007,Zhou 2021,Author-defined postoperative morphine-equivalent dose,Postoperative study period; exact cumulative window not reported,ZHOU21_TEAS_vs_UC_MME_POSTOP,41/40,Some concerns,Some concerns,Low,High,Some concerns,High,Time window unclear; morphine-equivalent rule internally inconsistent.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-mixed/undefined-007,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-postop-dose-001,Seevaunnamtum 2016,Cumulative IV PCA morphine requirement,First 24 h postoperatively,SEEVA16_EA_vs_UC,32/32,Some concerns,Low,Low,Low,Some concerns,Some concerns,Rescue component not separable.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-postop-dose-001,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-postop-dose-002,Lee 2011,Cumulative IV PCA morphine delivered,First 24 postoperative hours,LEE11_LOW_vs_SHAM_MORPH24,10/12,Some concerns,Some concerns,Some concerns,Low,Some concerns,Some concerns,Four randomized arms; active-vs-sham P NR.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-postop-dose-002,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-postop-dose-002,Lee 2011,Cumulative IV PCA morphine delivered,First 24 postoperative hours,LEE11_HIGH_vs_SHAM_MORPH24,12/12,Some concerns,Some concerns,Some concerns,Low,Some concerns,Some concerns,Four randomized arms; active-vs-sham P NR.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-postop-dose-002,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-postop-dose-003,Yeh 2010,24-h morphine PCA dose,First 24 postoperative hours,YEH10_AES_vs_SHAM_MORPH24,33/30,Some concerns,Some concerns,Some concerns,Low,Some concerns,Some concerns,Potential overlap with Yeh2011.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-postop-dose-003,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-postop-dose-004,Chen 1998,Cumulative IV PCA hydromorphone,First 24 h postoperatively,CHEN98_ACU_vs_SHAM,25/25,Some concerns,Some concerns,Low,High,Some concerns,High,Four-arm study; sensory masking concern.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-postop-dose-004,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-postop-dose-005,Lin 2002,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),LIN02_HIGH_vs_SHAM,25/25,Some concerns,Some concerns,Low,High,Some concerns,High,100/100 completed.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-postop-dose-005,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-postop-dose-005,Lin 2002,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),LIN02_LOW_vs_SHAM,25/25,Some concerns,Some concerns,Low,High,Some concerns,High,100/100 completed.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-postop-dose-005,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-postop-dose-006,Coura 2011,Cumulative fentanyl,First 24 h postoperatively,COURA11_EA_vs_SHAM,13/9,Some concerns,Some concerns,High,Some concerns,Some concerns,High,Only22/32 analyzed.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-postop-dose-006,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-postop-dose-007,El-Rakshy 2009,Total IV morphine analgesia,First 24 h,ELR09_EA_vs_CTRL_MORPH24,42/53,Some concerns,Some concerns,High,Low,Some concerns,High,95/107 contribute; raw data inaccessible.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-postop-dose-007,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-postop-dose-008,Gu 2019,Cumulative multimodal PCIA solution consumed,8 h,GU19_LTEAS_vs_CTEAS_PCIA8,58/59,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,Not pure opioid; exact24-h graph-only.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-postop-dose-008,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-postop-dose-008,Gu 2019,Cumulative multimodal PCIA solution consumed,4 h,GU19_LTEAS_vs_CTEAS_PCIA4,58/59,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,Not pure opioid; exact24-h graph-only.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-postop-dose-008,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-postop-dose-008,Gu 2019,Cumulative multimodal PCIA solution consumed,36 h,GU19_LTEAS_vs_CTEAS_PCIA36,58/59,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,Not pure opioid; exact24-h graph-only.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-postop-dose-008,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-postop-dose-009,Huang 2024,Additional PCA dose/release,"POD2; 24 h after first EA session, not necessarily 24 h after surgery",HUANG24_CONTRA_vs_SHAM_PCA_D2,38/38,Low,Some concerns,Some concerns,Some concerns,Low,Some concerns,PCA drug/unit unclear; not surgery-to-24h.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-postop-dose-009,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-postop-dose-010,Yeh 2011,24-h IV morphine PCA dose,First 24 postoperative hours,YEH11_AES_vs_SHAM_MORPH24,30/30,Some concerns,Low,Low,Low,Some concerns,Some concerns,Do not count independently with Yeh2010.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-postop-dose-010,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-rescue-nonopioid-001,Li 2022,Participants receiving rescue flurbiprofen,0-48 h,LI22_EA_vs_SHAM_RESCUEFLURB48,39/40,—,—,—,—,—,—,Double-zero.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-rescue-nonopioid-001,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-rescue-nonopioid-002,Hou 2023,Any rescue flurbiprofen use,Postoperative,HOU23_TEAS_vs_SHAM_RESCUE,36/36,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-rescue-nonopioid-002,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-rescue-nonopioid-003,Sun 2017,Supplemental flurbiprofen axetil requirement,Within 48 h,SUN17_TTS_vs_SSS_NSAID48,91/90,Low,Some concerns,Some concerns,Low,Some concerns,Some concerns,Do not call opioid rescue.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-rescue-nonopioid-003,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-rescue-nonopioid-003,Sun 2017,Supplemental flurbiprofen axetil requirement,Within 48 h,SUN17_TST_vs_SSS_NSAID48,89/90,Low,Some concerns,Some concerns,Low,Some concerns,Some concerns,Do not call opioid rescue.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-rescue-nonopioid-003,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-rescue-nonopioid-003,Sun 2017,Supplemental flurbiprofen axetil requirement,Within 48 h,SUN17_TSS_vs_SSS_NSAID48,91/90,Low,Some concerns,Some concerns,Low,Some concerns,Some concerns,Do not call opioid rescue.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-rescue-nonopioid-003,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-rescue-nonopioid-004,Lu 2021,Participants receiving rescue parecoxib,By 24 h,LU21_COMB_vs_SHAM_PARECOX24,190/188,Low,Low,Low,Some concerns,Some concerns,Some concerns,Table P=0.35 vs narrative0.58.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-rescue-nonopioid-004,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-rescue-opioid-001,Yao 2015,Cumulative rescue sufentanil administrations,0-24 h,YAO15_TEAS_vs_CONTROL_RESCUECOUNT24,35/36,Low,Some concerns,Some concerns,Some concerns,Some concerns,Some concerns,Table P=0.004 vs prose 0.04.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-rescue-opioid-001,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-rescue-opioid-002,Chen 2015 (Hyperalgesia),Cumulative number of rescue sufentanil PCIA boluses,0-24 h,CHEN15H_TEAS_vs_SHAM_RESCUECOUNT24,29/30,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,VNRS≥4 PCIA rule.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-rescue-opioid-002,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-rescue-opioid-003,Chen 2015,Cumulative rescue morphine administrations,0-24 h,CHEN15Q_TEAS_vs_CTRL_RESCUECOUNT24,41/42,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,Exact pre-dose trigger incompletely stated.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-rescue-opioid-003,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-rescue-opioid-004,Xie 2014,Participants receiving rescue dezocine,Through postoperative 48 h,XIE14_EAS_vs_SHAM_DEZOCINE48,20/20,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,Counts derived from percentages; patient-request trigger.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-rescue-opioid-004,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-rescue-opioid-005,Ntritsou 2014,Total rescue analgesia,First 24 h,NTRI14_EA_vs_SHAM_RESCUE,35/35,Low,Some concerns,Some concerns,Some concerns,Some concerns,Some concerns,Exact rescue-only group quantities absent.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-rescue-opioid-005,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-rescue-opioid-006,Yu 2020,Participants requiring rescue sufentanil,0-24 h,YU20_TEAS_vs_CONTROL_RESCUE24,30/30,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,Dose/trigger not reported.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-rescue-opioid-006,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-rescue-opioid-007,Tu 2024,Any rescue tramadol use,Within 24 h,TU24_TEAS_vs_SHAM_TRAMADOL,57/58,Low,Some concerns,Some concerns,Some concerns,Some concerns,Some concerns,VAS>6 → tramadol10 mg IM.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-rescue-opioid-007,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-rescue-opioid-008,Liu 2026 (burn),Any rescue dezocine use,Through POD1,LIU26BURN_TEAS_vs_SHAM_RESCUE,43/43,Low,Some concerns,Low,Low,Some concerns,Some concerns,Table P=0.106 vs narrative0.430.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-rescue-opioid-008,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
AF26-F-rescue-opioid-009,Zhou 2025,Any rescue analgesia,POD1-POD3,ZHOU25_TEAS_vs_SHAM_RESCUE,48/49,Low,Low,Low,Some concerns,Some concerns,Some concerns,Clinician discretion; no fixed pain threshold.,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-rescue-opioid-009,NOT PRESENT IN CONSOLIDATED RECORD,,,,,,,,,,,,,,
V38-AUDIT-0017,Zhu 2022,Time to passage of first flatus,From end of surgery to first flatus,Group Pre — EA day before surgery vs Group Usual — usual care alone,101.0/101.0,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-AUDIT-0017,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,AUDIT-0017,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Usual-care participants unblinded; recovery care/reporting could differ.,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Nausea/flatus self-reports potentially influenced by awareness; vomiting and clinician-masked dose separately rated.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,81b253dfbb68322da8383e775b391e0eb829702de456e01224fa82bf6b56bde0,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,p. 422; Table 3
V38-AUDIT-0018,Zhu 2022,Time to passage of first flatus,From end of surgery to first flatus,Group 30 — EA 30 min before surgery vs Group Usual — usual care alone,98.0/101.0,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-AUDIT-0018,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,AUDIT-0018,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Usual-care participants unblinded; recovery care/reporting could differ.,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Nausea/flatus self-reports potentially influenced by awareness; vomiting and clinician-masked dose separately rated.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,81b253dfbb68322da8383e775b391e0eb829702de456e01224fa82bf6b56bde0,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,p. 422; Table 3
V38-AUDIT-0019,Zhu 2022,Time to passage of first flatus,From end of surgery to first flatus,Group Comb — EA day before + 30 min before surgery vs Group Usual — usual care alone,100.0/101.0,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-AUDIT-0019,USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted,AUDIT-0019,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Usual-care participants unblinded; recovery care/reporting could differ.,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Nausea/flatus self-reports potentially influenced by awareness; vomiting and clinician-masked dose separately rated.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,81b253dfbb68322da8383e775b391e0eb829702de456e01224fa82bf6b56bde0,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,p. 422; Table 3
