record_id,comparison_id,study,endpoint_family,outcome,window,time_class,statistic_type,modality,comparator_type,intervention,comparator,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,eligibility,reason,rob2,analysis_population,source,source_location,selected_model,effect,se,measure,effect_note,scale_factor,hedges_g,hedges_se,not_pooled_reason
V33-OD-0137,LU22_TEAS_vs_CTRL_PCADELIV24,Lu 2022,PCA deliveries / bolus count,Successful PCA deliveries,24 h,24 h point,Median/IQR,TEAS,Sham,TEAS + ERAS,No-current control + ERAS,deliveries,47,47,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,PCA table / 24-h deliveries,,,,,,1,,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.
V33-OD-0138,LU22_TEAS_vs_CTRL_OPIOID24,Lu 2022,Postoperative opioid dose (native window/unit),Exact cumulative PCA opioid consumption,0-24 h,0-24h,Not reported,TEAS,Sham,TEAS + ERAS,No-current control + ERAS,mg/µg,47,47,,,,,,,NOT REPORTED,Accessed source does not supply the requested numerical result.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,Postoperative PCA section,,,,,,1,,,Accessed source does not supply the requested numerical result.
V33-OD-0139,LUO26_TEAS_vs_SHAM_NAUSEA48,Luo 2026,Nausea,Cumulative postoperative nausea,0-48 h,0-48h,Events/total,TEAS,Sham,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,participants,138,139,,,,,24,53,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,Primary outcome / cumulative nausea,,-0.785018,0.214695,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0140,LUO26_TEAS_vs_SHAM_VOMIT48,Luo 2026,Vomiting,Cumulative postoperative vomiting,0-48 h,0-48h,Events/total,TEAS,Sham,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,participants,138,139,,,,,9,27,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,Primary outcome / cumulative vomiting,,-1.091392,0.36566,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0141,LUO26_TEAS_vs_SHAM_COMPLETE48,Luo 2026,Rescue antiemetic,Complete response: no vomiting and no rescue antiemetic,0-48 h,0-48h,Events/total,TEAS,Sham,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,participants,138,139,,,,,112,83,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,Complete-response result,,0.306879,0.080846,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0142,LUO26_TEAS_vs_SHAM_NRS24,Luo 2026,Pain — unspecified context,Postoperative NRS pain,24 h,24 h point,Mean/SD,TEAS,Sham,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,NRS 0-10,138,139,1.3,0.92,1.65,0.95,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,Postoperative pain table / 24 h,,-0.35,0.112366,MD,Native MD; no pooled interpretation without compatible model.,1,-0.37324,0.121211,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0143,LUO26_TEAS_vs_SHAM_OPIOIDEQUIV,Luo 2026,Postoperative opioid dose (native window/unit),Published 'sufentanil equivalents' metric,Perioperative,perioperative,Mean/SD,TEAS,Sham,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,published as mg; definition/unit unresolved,138,139,15.86,5.11,15.18,4.95,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,Table 1 / perioperative opioid metric,,0.68,0.604562,MD,Native MD; no pooled interpretation without compatible model.,1,0.134811,0.120306,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0144,LUO26_TEAS_vs_SHAM_OPIOID24,Luo 2026,Postoperative opioid dose (native window/unit),Cumulative postoperative oxycodone consumption,0-24 h,0-24h,Not reported,TEAS,Sham,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,mg oxycodone,138,139,,,,,,,NOT REPORTED,Accessed source does not supply the requested numerical result.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,Postoperative analgesia / exact 24-h endpoint absent,,,,,,1,,,Accessed source does not supply the requested numerical result.
V33-OD-0145,LONG25_TEAS_vs_CTRL_PND1,Long 2025,Neurocognitive,Perioperative neurocognitive disorder (PND),POD1,pod1,Published event count + percentage; denominator inconsistent,EA,Sham,Perioperative electrical acupoint stimulation,Electrodes/no current,Active: 7 cases (25.0%); Control: 14 cases (56.0%),27,26,,,,,7,14,HOLD,"Unresolved source conflict or undefined endpoint; printed values retained, excluded from quantitative models.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,PND incidence table / POD1,,,,,,1,,,"Unresolved source conflict or undefined endpoint; printed values retained, excluded from quantitative models."
V33-OD-0146,LONG25_TEAS_vs_CTRL_PND3,Long 2025,Neurocognitive,Perioperative neurocognitive disorder (PND),POD3,pod3,Published event count + percentage; denominator inconsistent,EA,Sham,Perioperative electrical acupoint stimulation,Electrodes/no current,Active: 4 cases (14.3%); Control: 12 cases (48.0%),27,26,,,,,4,12,HOLD,"Unresolved source conflict or undefined endpoint; printed values retained, excluded from quantitative models.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,PND incidence table / POD3,,,,,,1,,,"Unresolved source conflict or undefined endpoint; printed values retained, excluded from quantitative models."
V33-OD-0147,LONG25_TEAS_vs_CTRL_VAS24,Long 2025,Pain — unspecified context,VAS pain intensity,24 h,24 h point,Mean/SD,EA,Sham,Perioperative electrical acupoint stimulation,Electrodes/no current,VAS 0-10,27,26,2.78,0.97,3.96,0.96,,,HOLD,"Unresolved source conflict or undefined endpoint; printed values retained, excluded from quantitative models.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,Table 7 / Figure 9,,,,,,1,,,"Unresolved source conflict or undefined endpoint; printed values retained, excluded from quantitative models."
V33-OD-0148,LONG25_TEAS_vs_CTRL_PCIA48VOL,Long 2025,PCIA solution volume,PCIA solution consumption,48 h,48h,Mean/SD,EA,Sham,Perioperative electrical acupoint stimulation,Electrodes/no current,mL of weight-based sufentanil solution,27,26,86.22,4.27,89.23,3.67,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,Table 7 / Figure 9,,-3.01,1.092395,MD,Native MD; no pooled interpretation without compatible model.,1,-0.743763,0.284108,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0149,LONG25_TEAS_vs_CTRL_PCIAPRESS48,Long 2025,PCA/PCIA button presses,PCIA compression count,48 h,48h,Mean/SD,EA,Sham,Perioperative electrical acupoint stimulation,Electrodes/no current,presses,27,26,7.11,2.14,8.62,1.84,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,Table 7 / Figure 9,,-1.51,0.547568,MD,Native MD; no pooled interpretation without compatible model.,1,-0.744372,0.284123,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0150,LONG25_TEAS_vs_CTRL_PONV,Long 2025,PONV composite,PONV incidence,Postoperative,postoperative,Events/total,EA,Sham,Perioperative electrical acupoint stimulation,Electrodes/no current,participants,27,26,,,,,1,8,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,Adverse events / PONV,,-2.117182,1.024452,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0151,LONG25_TEAS_vs_CTRL_OPIOID24,Long 2025,Postoperative opioid dose (native window/unit),Exact cumulative postoperative sufentanil consumption,0-24 h,0-24h,Not reported,EA,Sham,Perioperative electrical acupoint stimulation,Electrodes/no current,µg sufentanil,27,26,,,,,,,NOT REPORTED,Accessed source does not supply the requested numerical result.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,Exact 24-h opioid endpoint absent,,,,,,1,,,Accessed source does not supply the requested numerical result.
V33-OD-0152,LI21_TEAS_vs_SHAM_BOWEL,Li 2021,GI — first defecation,Time to first bowel motion by auscultation,Postoperative,postoperative,Median/IQR,TEAS,Sham,Perioperative TEAS,Sham-point/no current,hours,140,140,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,Primary outcome / first bowel motion,,,,,,1,,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.
V33-OD-0153,LI21_TEAS_vs_SHAM_FLATUS,Li 2021,GI — first flatus,Time to first flatus,Postoperative,postoperative,Median/IQR,TEAS,Sham,Perioperative TEAS,Sham-point/no current,hours,140,140,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,First-flatus result,,,,,,1,,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.
V33-OD-0154,LI21_TEAS_vs_SHAM_PGD,Li 2021,GI — bowel sounds,Postoperative gastrointestinal dysfunction: no bowel sounds >48 h,Postoperative,postoperative,Events/total,TEAS,Sham,Perioperative TEAS,Sham-point/no current,participants,140,140,,,,,26,44,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,PGD incidence,,-0.526093,0.216571,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0155,LI21_TEAS_vs_SHAM_PAIN6,Li 2021,Pain — unspecified context,VAS ≥4,6 h,6h,Events/total,TEAS,Sham,Perioperative TEAS,Sham-point/no current,participants,140,140,,,,,30,50,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,Postoperative pain table / 6 h,,-0.510826,0.197605,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0156,LI21_TEAS_vs_SHAM_OPIOID24,Li 2021,Postoperative opioid dose (native window/unit),Cumulative postoperative sufentanil consumption,0-24 h,0-24h,Not reported,TEAS,Sham,Perioperative TEAS,Sham-point/no current,published pump formulation says 250 mg sufentanil/250 mL,140,140,,,,,,,NOT REPORTED,Accessed source does not supply the requested numerical result.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,Postoperative analgesia pump / exact 24-h endpoint absent,,,,,,1,,,Accessed source does not supply the requested numerical result.
V33-OD-0157,LIU26ESD_TEAS_vs_SHAM_MODPAIN24,Liu 2026 (ESD),Pain — unspecified context,Moderate-to-severe pain (NRS ≥4),Within 24 h,within 24h,Events/total,TEAS,Sham,Perioperative TEAS,Sham-point/no current,participants,58,62,,,,,22,40,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk,Primary outcome / NRS ≥4 within 24 h,,-0.531146,0.192572,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0158,LIU26ESD_TEAS_vs_SHAM_NRS24,Liu 2026 (ESD),Pain — unspecified context,NRS pain intensity,24 h,24 h point,Mean/SD,TEAS,Sham,Perioperative TEAS,Sham-point/no current,NRS 0-10,58,62,1.2,1.3,2.8,1.9,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk,Serial NRS results / 24 h,,-1.6,0.295574,MD,Native MD; no pooled interpretation without compatible model.,1,-0.97067,0.193122,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0159,LIU26ESD_TEAS_vs_SHAM_ANYMORPH,Liu 2026 (ESD),Rescue opioid use,Any rescue IV morphine use,Through 48 h,through 48h,Events/total,TEAS,Sham,Perioperative TEAS,Sham-point/no current,participants,58,62,,,,,19,40,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk,Postoperative rescue analgesia,,-0.677749,0.210383,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0160,LIU26ESD_TEAS_vs_SHAM_PONV,Liu 2026 (ESD),PONV composite,PONV incidence,Postoperative follow-up,postoperative follow-up,Events/total,TEAS,Sham,Perioperative TEAS,Sham-point/no current,participants,58,62,,,,,4,14,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk,Postoperative complication table,,-1.186072,0.53671,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0161,LIU26ESD_TEAS_vs_SHAM_MORPH24,Liu 2026 (ESD),Postoperative opioid dose (native window/unit),Cumulative postoperative morphine consumption,0-24 h,0-24h,Not reported,TEAS,Sham,Perioperative TEAS,Sham-point/no current,mg IV morphine,58,62,,,,,,,NOT REPORTED,Accessed source does not supply the requested numerical result.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk,Exact 24-h opioid dose absent,,,,,,1,,,Accessed source does not supply the requested numerical result.
V33-OD-0162,LIU21_TEAS_vs_CTRL_POCD1,Liu 2021,Neurocognitive,Postoperative cognitive decline (MMSE Z-score ≤ -2),POD1,pod1,Events/total,TEAS,Sham,Perioperative TEAS,Electrodes/no current,participants,50,50,,,,,5,11,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,POCD incidence table / POD1,,-0.788457,0.500908,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0163,LIU21_TEAS_vs_CTRL_VASREST24,Liu 2021,Pain — rest,VAS at rest,24 h,24 h point,Mean/SD,TEAS,Sham,Perioperative TEAS,Electrodes/no current,VAS,50,50,2.52,0.505,2.66,0.626,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,Table 2 / 24-h rest VAS,,-0.14,0.113745,MD,Native MD; no pooled interpretation without compatible model.,1,-0.244275,0.200744,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0164,LIU21_TEAS_vs_CTRL_VASCOUGH24,Liu 2021,Pain — cough,VAS with coughing,24 h,24 h point,Mean/SD,TEAS,Sham,Perioperative TEAS,Electrodes/no current,VAS,50,50,3.2,0.571,3.16,0.681,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,Table 2 / 24-h coughing VAS,,0.04,0.125682,MD,Native MD; no pooled interpretation without compatible model.,1,0.063164,0.20005,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0165,LIU21_TEAS_vs_CTRL_PCAPRESS24,Liu 2021,PCA/PCIA button presses,PCA pump compressions,0-24 h,0-24h,Mean/SD,TEAS,Sham,Perioperative TEAS,Electrodes/no current,presses,50,50,17.62,2.687,17.38,3.801,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,24-h PCA compression result,,0.24,0.658294,MD,Native MD; no pooled interpretation without compatible model.,1,0.072356,0.200065,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0166,LIU21_TEAS_vs_CTRL_OPIOID24,Liu 2021,Postoperative opioid dose (native window/unit),Cumulative postoperative sufentanil consumption,0-24 h,0-24h,Not calculable,TEAS,Sham,Perioperative TEAS,Electrodes/no current,published formulation 0.15 µg/kg in 100 mL,50,50,,,,,,,HOLD,Nonstandard or incomplete statistic; no inferred quantities.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,Postoperative PCIA section,,,,,,1,,,Nonstandard or incomplete statistic; no inferred quantities.
V33-OD-0167,LIU26BURN_TEAS_vs_SHAM_REMI,Liu 2026 (burn),Intraoperative opioid,Remifentanil consumption,Intraoperative,intraoperative,Median/IQR,TEAS,Sham,Pre-induction TEAS,Placebo/sham TEAS,mg remifentanil,43,43,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,Results / Figure 4,,,,,,1,,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.
V33-OD-0168,LIU26BURN_TEAS_vs_SHAM_PONV24,Liu 2026 (burn),PONV composite,Nausea-vomiting,Through POD1 / approximately 24 h,through pod1 / approximately 24h,Events/total,TEAS,Sham,Pre-induction TEAS,Placebo/sham TEAS,participants,43,43,,,,,7,16,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,Secondary postoperative outcomes,,-0.826679,0.398554,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0169,LIU26BURN_TEAS_vs_SHAM_RESCUE,Liu 2026 (burn),Rescue opioid use,Any rescue dezocine use,Through POD1,through pod1,Events/total,TEAS,Sham,Pre-induction TEAS,Placebo/sham TEAS,participants,43,43,,,,,3,8,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,Rescue analgesia,,-0.980829,0.641733,logRR,Uncorrected log risk ratio,1,,,"Through POD1 is not confirmed exact cumulative 0–24 h; separate POD1 result, not pooled with exact window."
V33-OD-0170,LIU26BURN_TEAS_vs_SHAM_FVAS24,Liu 2026 (burn),Pain — rest,Resting F-VAS pain,24 h,24 h point,Graph-only continuous data,TEAS,Sham,Pre-induction TEAS,Placebo/sham TEAS,F-VAS 0-100 mm,43,43,,,,,,,GRAPH ONLY,No new graph digitization; historical digitized data require their original validation before pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,Figure 5 / F3 24 h,,,,,,1,,,No new graph digitization; historical digitized data require their original validation before pooling.
V33-OD-0171,LIU26BURN_TEAS_vs_SHAM_OPIOID24,Liu 2026 (burn),Postoperative opioid dose (native window/unit),Complete postoperative opioid/MME exposure,0-24 h,0-24h,Not calculable,TEAS,Sham,Pre-induction TEAS,Placebo/sham TEAS,sufentanil + butorphanol PCIA; rescue dezocine,43,43,,,,,,,HOLD,Nonstandard or incomplete statistic; no inferred quantities.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,Postoperative PCIA section,,,,,,1,,,Nonstandard or incomplete statistic; no inferred quantities.
V33-OD-0172,LIU25_EA_vs_CTRL_SVT24,Liu 2025,Cardiac rhythm,New-onset supraventricular tachycardia (SVT),First 24 h,first 24h,Events/total,EA,Sham,Perioperative electroacupuncture,Control/sham procedure,participants,38,39,,,,,4,13,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1SHBSKFaeE4G3PXTGVMm7TR8L0H9EgtsD/view?usp=drivesdk,Primary outcome / first-24-h SVT,,-1.15268,0.524372,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0173,LIU25_EA_vs_CTRL_TSTN1,Liu 2025,Sleep quality,Total sleep time measured by ambulatory sleep recorder,First postoperative night,first postoperative night,Median/IQR,EA,Sham,Perioperative electroacupuncture,Control/sham procedure,minutes,38,39,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1SHBSKFaeE4G3PXTGVMm7TR8L0H9EgtsD/view?usp=drivesdk,Objective sleep monitoring / first night,,,,,,1,,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.
V33-OD-0174,LIU25_EA_vs_CTRL_PAIN24,Liu 2025,Pain — unspecified context,VAS pain intensity,24 h,24 h point,Graph-only continuous data,EA,Sham,Perioperative electroacupuncture,Control/sham procedure,VAS 0-10,38,39,,,,,,,GRAPH ONLY,No new graph digitization; historical digitized data require their original validation before pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1SHBSKFaeE4G3PXTGVMm7TR8L0H9EgtsD/view?usp=drivesdk,Figure 2 / 24-h pain,,,,,,1,,,No new graph digitization; historical digitized data require their original validation before pooling.
V33-OD-0175,LIU25_EA_vs_CTRL_OPIOID24,Liu 2025,Postoperative opioid dose (native window/unit),Exact cumulative postoperative opioid consumption,0-24 h,0-24h,Not reported,EA,Sham,Perioperative electroacupuncture,Control/sham procedure,mg/µg,38,39,,,,,,,NOT REPORTED,Accessed source does not supply the requested numerical result.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1SHBSKFaeE4G3PXTGVMm7TR8L0H9EgtsD/view?usp=drivesdk,Exact 24-h opioid endpoint absent,,,,,,1,,,Accessed source does not supply the requested numerical result.
