study,comparison_id,modality,comparator_text,comparator_category,n_intervention,n_comparator,outcome_reported,time_window,original_unit,reporting_format,value_intervention,variance_intervention,value_comparator,variance_comparator,exact_0_24h,transformation_required,assumptions_required,mme_conversion_factor,mme_factor_source,tier_mme,smd_eligible,eligible_main_S0,reason,v32_primary_eligibility,v32_analysis_readiness,v32_pipeline_inc_primary,v32_pipeline_inc_sens,source_qc_issue,verified_against_pdf,source_url
Liu 2021,LIU21_TEAS_vs_CTRL_OPIOID24,TEAS,Electrodes/no current,1_sham_placebo,50,50,Cumulative postoperative sufentanil consumption,0-24 h,published formulation 0.15 µg/kg in 100 mL,Not calculable,,,,,No,,,,weight-normalized unit; absolute dose needs individual body weights,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,"Published PCA formulation is ambiguous/implausibly low, successful delivered boluses are not reported, and actual cumulative sufentanil is unavailable",not individually PDF-verified in this pass,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk
Liu 2026 (burn),LIU26BURN_TEAS_vs_SHAM_OPIOID24,TEAS,Placebo/sham TEAS,1_sham_placebo,43,43,Complete postoperative opioid/MME exposure,0-24 h,sufentanil + butorphanol PCIA; rescue dezocine,Not calculable,,,,,No,,,,no sourced IV MME factor located for butorphanol,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,"PCIA composition is known but bolus volume, basal rate, delivered-volume and successful-delivery counts are not; two opioids are present in the pump",not individually PDF-verified in this pass,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk
Liu 2025,LIU25_EA_vs_CTRL_OPIOID24,TEAS,Control/sham procedure,1_sham_placebo,38,39,Exact cumulative postoperative opioid consumption,0-24 h,mg/µg,Not reported,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,No source-grounded exact 0-24-h postoperative opioid total is available in the reconciled extraction,not individually PDF-verified in this pass,https://drive.google.com/file/d/1SHBSKFaeE4G3PXTGVMm7TR8L0H9EgtsD/view?usp=drivesdk
Li 2022,LI22_EA_vs_SHAM_OPIOID24,TEAS,Sham electroacupuncture,1_sham_placebo,39,40,Exact cumulative postoperative opioid consumption,0-24 h,mg/µg,Not reported,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,The prior derivative's 24-h sufentanil result was fabricated; no source-grounded exact 24-h postoperative opioid total is available,not individually PDF-verified in this pass,https://drive.google.com/file/d/1rQTrwnCvj72poJrGGvYjpxSZXvUhSD0u/view?usp=drivesdk
Liang 2021,LIANG21_TEAS_vs_CTRL_OPIOID24,TEAS,Control/no stimulation,1_sham_placebo,35,35,Exact cumulative postoperative opioid consumption,0-24 h,mg/µg,Not reported,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,The source trial focuses on CRBD; no source-grounded exact cumulative 24-h opioid endpoint is available,not individually PDF-verified in this pass,https://drive.google.com/file/d/1guriAcqNbJNXpfd_UjYwevULLVSeiHXS/view?usp=drivesdk
Jin 2023,JIN23_2HZ_vs_SHAM_VOL24,EA,Sham nonpenetrating EA/no current,1_sham_placebo,53,52,Published 'fentanyl consumption' / PCIA solution volume,24 h,mL PCIA solution,Mean/SD,39.31,15.58,56.54,12.5,Yes,"mL of PCIA solution -> fentanyl mass requires the solution concentration, which the main article does not report.","Absolute MME would require assuming a concentration. NOTE: within this study both arms drew from the same solution, so mL is linear in fentanyl mass with a common unknown constant; that constant cancels in a standardized effect, so the contrast is usable on the SMD metric even though absolute MME is not recoverable.",,solution volume; drug concentration not reported,E,Yes (mL proxy; scale cancels in SMD) - multi-arm,No,No sourced absolute conversion; shares a sham arm with the 20/100 Hz contrast.,No,CONDITIONAL,0,0,Main article does not report fentanyl concentration. Do not convert mL to µg/mg/MME. 2-Hz vs 20/100-Hz inferential statistics conflict between table and prose,v32 Opioid_24h_Candidates; concentration absent from main article per v32 QC,https://drive.google.com/file/d/1fkNAFra0gZ9jkWkzp_S0TWy-5zVrXCtj/view?usp=drivesdk
Jin 2023,JIN23_20100_vs_SHAM_VOL24,EA,Sham nonpenetrating EA/no current,1_sham_placebo,53,52,Published 'fentanyl consumption' / PCIA solution volume,24 h,mL PCIA solution,Mean/SD,45.72,16.92,56.54,12.5,Yes,As above.,As above; additionally this contrast shares the sham arm with the 2 Hz contrast and must not be counted as an independent study unit.,,solution volume; drug concentration not reported,E,Yes (mL proxy; scale cancels in SMD) - shared sham arm,No,No sourced absolute conversion; correlated multi-arm contrast.,No,CONDITIONAL,,,Main article does not report fentanyl concentration. Do not convert mL to µg/mg/MME. 2-Hz vs 20/100-Hz inferential statistics conflict between table and prose,v32 Opioid_24h_Candidates; concentration absent from main article per v32 QC,https://drive.google.com/file/d/1fkNAFra0gZ9jkWkzp_S0TWy-5zVrXCtj/view?usp=drivesdk
Jin 2023,JIN23_OPIOID24_MASS,EA,Sham nonpenetrating EA/no current,1_sham_placebo,,,Exact cumulative fentanyl mass / MME,0-24 h,µg fentanyl / MME,Not calculable,,,,,Yes,,,,unit not mapped to a sourced conversion factor,F,No,No,Exact 0-24 h endpoint is not quantitatively reported.,No,EXCLUDE — DATA UNAVAILABLE,,,Only mL of solution are reported in the main article,not individually PDF-verified in this pass,https://drive.google.com/file/d/1fkNAFra0gZ9jkWkzp_S0TWy-5zVrXCtj/view?usp=drivesdk
Jiang 2026,JIANG26_TEAS_vs_SHAM_OPIOID24,TEAS,Sham/no current,1_sham_placebo,294,293,Exact cumulative postoperative opioid consumption,0-24 h,mg/µg,Not reported,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,PCIA use is reported but exact group-specific postoperative dose is not,not individually PDF-verified in this pass,https://drive.google.com/file/d/1nujlP9A_IMWUfd3HdCD2rOxTc9-I8v92/view?usp=drivesdk
Huang 2025,HUANG25_EA_vs_UC_OPIOID24,EA,ERAS/standard care,3_usual_care,43,45,Exact cumulative postoperative opioid consumption,0-24 h,mg/µg,Not reported,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,"PCA drug/composition and consumption are not reported; rescue analgesia was ketorolac, a non-opioid NSAID",not individually PDF-verified in this pass,https://drive.google.com/file/d/1VnJCbIPz8Uy1kXYCTKk7l9Zqj-rTECrY/view?usp=drivesdk
Huang 2024,HUANG24_OPIOID24,EA,Bilateral sham EA,1_sham_placebo,38,38,Exact cumulative postoperative opioid dose,0-24 h,MME,Not calculable,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,"PCA drug identity/composition, bolus dose and exact 24-h-after-surgery exposure are unavailable",not individually PDF-verified in this pass,https://drive.google.com/file/d/1z-76QoxqmtMRV32wOpem7jAyDnuD6fb8/view?usp=drivesdk
Hou 2023,HOU23_TEAS_vs_SHAM_OPIOID24,TEAS,Sham/no-current TEAS,1_sham_placebo,36,36,Actual total postoperative sufentanil consumption,0-24 h,µg sufentanil,Not reported,,,,,Yes,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Exact 0-24 h endpoint is not quantitatively reported.,No,EXCLUDE — DATA UNAVAILABLE,,,"PCIA concentration and basal/bolus settings are known, but actual bolus use/total delivered sufentanil are not reported; fixed basal exposure is not total consumption",not individually PDF-verified in this pass,https://drive.google.com/file/d/161WdTRehgwvDHvQ8OkRf8U9TbUmVQgaR/view?usp=drivesdk
Huang 2017,HUANG17_POSTOP_SUF_AGG,TEAS,Placebo TEAS/no current,1_sham_placebo,20,20,Published postoperative sufentanil aggregate,Observation window unclear,µg/kg sufentanil,Mean/SD,1.67,0.59,1.32,0.48,No,,,,weight-normalized unit; absolute dose needs individual body weights,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — NOT PRIMARY 24H OPIOID,,,Methods mention 6/12/24/48-h assessments but Table 5 gives only one aggregate dose per group,not individually PDF-verified in this pass,https://drive.google.com/file/d/1RJGi1PYvw75qVW9UK8CBtJPH4G035ASs/view?usp=drivesdk
Huang 2017,HUANG17_OPIOID24,TEAS,Placebo TEAS/no current,1_sham_placebo,20,20,Exact cumulative postoperative sufentanil consumption,0-24 h,µg/kg sufentanil,Not reported,,,,,No,,,,weight-normalized unit; absolute dose needs individual body weights,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,Exact 24-h group values and PCA demand/delivery counts are not published,not individually PDF-verified in this pass,https://drive.google.com/file/d/1RJGi1PYvw75qVW9UK8CBtJPH4G035ASs/view?usp=drivesdk
He 2026 (hepatectomy/JIS),HEJIS26_TEAS_vs_CTRL_MME24,TEAS,No-current PC6 control,1_sham_placebo,80,79,Total postoperative opioid consumption in morphine equivalents,0-24 h,mg MME,Mean/SD,20,2.5,20.6,4.5,Yes,unit x 1.0 mg IV MME,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,A,Yes,Yes,"Exact 0-24 h cumulative endpoint, mean/SD, sourced absolute MME conversion.",Yes,INCLUDE,1,0,Supplemental eTable 1 directly reports MME; mITT excludes one canceled surgery and one consent withdrawal after randomization,not individually PDF-verified in this pass,https://drive.google.com/file/d/1VgOxIOrGe7ZVevkKEVP7G-0V1DXPU0Gf/view?usp=drivesdk
He 2026 (breast/WJCO),HEBREAST26_OPIOID24,EA,Sham acupuncture + flurbiprofen,1_sham_placebo,65,65,Cumulative rescue morphine consumption,0-24 h,mg IV morphine,Not reported,,,,,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,"Rescue morphine 1-3 mg IV was allowed, but authors explicitly state rescue opioid consumption was not recorded or compared",not individually PDF-verified in this pass,https://drive.google.com/file/d/1D6Js5nTN2AwL5-BB-NIJVoCKVtcbcczH/view?usp=drivesdk
Gu 2019,GU19_LTEAS_vs_CTEAS_PCIA4,TEAS,Sham/no-current TEAS,1_sham_placebo,58,59,Cumulative multimodal PCIA solution consumed,4 h,mL solution = numerically same µg sufentanil at 1 µg/mL,Mean/SD,10.02,2.26,13.38,2.98,No,,,,solution volume; drug concentration not reported,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — NOT PRIMARY 24H OPIOID,,,"Pump also contains dexmedetomidine, flurbiprofen and palonosetron; exact 24-h value is graph-only",not individually PDF-verified in this pass,https://drive.google.com/file/d/1ipQFXfERgAVmgNKMpLkvaaecYJVSTDiw/view?usp=drivesdk
Gu 2019,GU19_LTEAS_vs_CTEAS_PCIA8,TEAS,Sham/no-current TEAS,1_sham_placebo,58,59,Cumulative multimodal PCIA solution consumed,8 h,mL solution = numerically same µg sufentanil at 1 µg/mL,Mean/SD,20.55,4.59,24.63,3.94,No,,,,solution volume; drug concentration not reported,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — NOT PRIMARY 24H OPIOID,,,"Pump also contains dexmedetomidine, flurbiprofen and palonosetron; exact 24-h value is graph-only",not individually PDF-verified in this pass,https://drive.google.com/file/d/1ipQFXfERgAVmgNKMpLkvaaecYJVSTDiw/view?usp=drivesdk
Gu 2019,GU19_LTEAS_vs_CTEAS_PCIA36,TEAS,Sham/no-current TEAS,1_sham_placebo,58,59,Cumulative multimodal PCIA solution consumed,36 h,mL solution = numerically same µg sufentanil at 1 µg/mL,Mean/SD,72.64,9.74,76.01,10.43,No,,,,solution volume; drug concentration not reported,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — NOT PRIMARY 24H OPIOID,,,"Pump also contains dexmedetomidine, flurbiprofen and palonosetron; exact 24-h value is graph-only",not individually PDF-verified in this pass,https://drive.google.com/file/d/1ipQFXfERgAVmgNKMpLkvaaecYJVSTDiw/view?usp=drivesdk
Gu 2019,GU19_OPIOID24,TEAS,Sham/no-current TEAS,1_sham_placebo,58,59,Exact cumulative 24-h postoperative sufentanil,0-24 h,µg sufentanil,Graph-only / not numerically reported,,,,,Yes,"PCIA solution mL -> ug sufentanil is exact and deterministic: 100 ug sufentanil in 100 mL = 1.0 ug/mL, so mL and ug are numerically equal. The blocker is that the 24 h value itself is only plotted in Fig. 4.",None for the unit conversion. Digitization must be formal and dual-reviewed; values must not be visually estimated.,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,D,Pending digitization,No,"Exact 0-24 h endpoint exists but only graphically. Text reports 4 h, 8 h and 36 h numerically and skips 24 h. NOTE: PCIA included a fixed 2 mL/h basal infusion, so a large protocol-mandated component is common to both arms and dilutes between-group contrast; record this with any digitized value.",No,DIGITIZATION NEEDED,,,24-h PCIA point is visible graphically but not numerically reported,"covidence_1471_full_article.pdf: 'PCIA devices with 100 ug sufentanil ... in 100 mL (bolus 0.5 mL, lock-out 15 min, basal infusion 2 ml/h)'; section 3.3 reports 4 h, 8 h, 36 h only; 'Fig. 4 Comparison of analgesic consumption within 36 h'",https://drive.google.com/file/d/1ipQFXfERgAVmgNKMpLkvaaecYJVSTDiw/view?usp=drivesdk
Guo 2023,GUO23_OPIOID24,TEAS,Sham/no-current TEAS,1_sham_placebo,55,55,Actual postoperative sufentanil consumption,0-24 h,µg sufentanil,Not reported,,,,,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,PCIA prescription is reported but actual delivered 24-h/48-h sufentanil is not,not individually PDF-verified in this pass,https://drive.google.com/file/d/1Idfl7rfZhgAUJHDpsmgzp17ADiGvrU8C/view?usp=drivesdk
Grech 2016,GRECH16_EA_vs_CTRL_PACU_MME_WOMEN,EA,Sham/control,1_sham_placebo,9,9,PACU analgesic requirement in women-only subgroup,PACU,mg morphine-equivalent,Graph-only morphine-equivalent outcome,,,,,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,DIGITIZATION NEEDED,,,Post hoc women-only subgroup excludes two men from EA arm; exact means/SEM are not tabulated,not individually PDF-verified in this pass,https://drive.google.com/file/d/1U3KShiAZKL8n9hxSpBkhuhuQHW2EN-IY/view?usp=drivesdk
Grech 2016,GRECH16_EA_vs_CTRL_OPIOID24,EA,Sham/control,1_sham_placebo,,,Exact cumulative 24-h postoperative morphine-equivalent consumption,0-24 h,mg morphine-equivalent,Not reported,,,,,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,Day-1 analgesic use is graphical and exact 24-h mean/dispersion is not tabulated,not individually PDF-verified in this pass,https://drive.google.com/file/d/1U3KShiAZKL8n9hxSpBkhuhuQHW2EN-IY/view?usp=drivesdk
Gao 2021,GAO21_OPIOID24,TEAS,Sham/no-current TEAS,1_sham_placebo,303,307,Exact cumulative postoperative opioid consumption,0-24 h,mg/µg,Not reported,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,"Main article reports only whether postoperative analgesia was used, not drug-specific dose/route/PCA consumption",not individually PDF-verified in this pass,https://drive.google.com/file/d/1QbM6CNi8KfBXmMTqG1ASm3hK05cz_hKQ/view?usp=drivesdk
Yeh 2010,YEH10_AES_vs_SHAM_MORPH24,TEAS,Electrical sham/nonmeridian AES,2_active_electrical,33,30,24-h morphine PCA dose,First 24 postoperative hours,mg morphine; source explicitly calls PCA epidural,Mean/SD,18.6,9.7,21.6,13.1,Yes,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Probable overlapping publication/cohort; not an independent study unit until linkage is resolved.,Conditional,DUPLICATE HOLD,,,Probable overlapping publication/cohort with Yeh 2011. Five of 99 entrants did not complete and randomized arm assignment of losses is NR. Do not treat both papers as independent.,not individually PDF-verified in this pass,https://drive.google.com/file/d/1a1s31PQPWGnaVkYUtNUxO22F3QFTcwmi/view?usp=drivesdk
Yeh 2010,YEH10_AES_vs_CONTROL_MORPH24,TEAS,No-AES control,3_usual_care,33,31,24-h morphine PCA dose,First 24 postoperative hours,mg morphine; source explicitly calls PCA epidural,Mean/SD,18.6,9.7,27.2,12.5,Yes,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Probable overlapping publication/cohort; not an independent study unit until linkage is resolved.,Conditional,DUPLICATE HOLD,,,Same probable overlapping cohort issue; route must not be silently recoded as IV.,not individually PDF-verified in this pass,https://drive.google.com/file/d/1a1s31PQPWGnaVkYUtNUxO22F3QFTcwmi/view?usp=drivesdk
Yeh 2011,YEH11_AES_vs_SHAM_MORPH24,TEAS,Electrical sham/nonacupoint AES,2_active_electrical,30,30,24-h IV morphine PCA dose,First 24 postoperative hours,mg IV morphine,Mean/SD,19.3,9.7,21.6,13.1,Yes,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Probable overlapping publication/cohort; not an independent study unit until linkage is resolved.,Conditional,DUPLICATE HOLD,0,0,"Highly similar to Yeh 2010 in population, acupoints, comparator and 24-h opioid values; do not count independently until cohort/publication linkage is adjudicated.",not individually PDF-verified in this pass,https://drive.google.com/file/d/1ZJ60ZvJ5Q7sRu1iptK_tLLfBXxZZ_Hwl/view?usp=drivesdk
Yeh 2011,YEH11_AES_vs_CONTROL_MORPH24,TEAS,No-AES control,3_usual_care,30,30,24-h IV morphine PCA dose,First 24 postoperative hours,mg IV morphine,Mean/SD,19.3,9.7,28,12.1,Yes,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Probable overlapping publication/cohort; not an independent study unit until linkage is resolved.,Conditional,DUPLICATE HOLD,,,Sequential allocation without sealed envelopes; probable overlapping publication family with Yeh 2010.,not individually PDF-verified in this pass,https://drive.google.com/file/d/1ZJ60ZvJ5Q7sRu1iptK_tLLfBXxZZ_Hwl/view?usp=drivesdk
Wong 2006,WONG06_EA_vs_SHAM_MORPHD0,TEAS,Nonpenetrating sham acupuncture,1_sham_placebo,13,12,IV PCA morphine consumption,Day 0,mg IV morphine,Mean/SD,8.3,4.9,7.8,6.4,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — NOT PRIMARY 24H OPIOID,,,Both groups also received scheduled oral dextropropoxyphene. Two randomized sham patients were excluded after serious postoperative complications.,not individually PDF-verified in this pass,https://drive.google.com/file/d/1-XmRdgXyZmOmKIDRhL80sxha5M2P00jd/view?usp=drivesdk
Wong 2006,WONG06_EA_vs_SHAM_MORPHD1,TEAS,Nonpenetrating sham acupuncture,1_sham_placebo,13,12,IV PCA morphine consumption,Day 1,mg IV morphine,Mean/SD,18,8.8,18.8,9.8,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — NOT PRIMARY 24H OPIOID,,,Both groups also received scheduled oral dextropropoxyphene. Two randomized sham patients were excluded after serious postoperative complications.,not individually PDF-verified in this pass,https://drive.google.com/file/d/1-XmRdgXyZmOmKIDRhL80sxha5M2P00jd/view?usp=drivesdk
Wong 2006,WONG06_EA_vs_SHAM_MORPHD2,TEAS,Nonpenetrating sham acupuncture,1_sham_placebo,13,12,IV PCA morphine consumption,Day 2,mg IV morphine,Mean/SD,7.5,5,15.7,12,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — NOT PRIMARY 24H OPIOID,,,Both groups also received scheduled oral dextropropoxyphene. Two randomized sham patients were excluded after serious postoperative complications.,not individually PDF-verified in this pass,https://drive.google.com/file/d/1-XmRdgXyZmOmKIDRhL80sxha5M2P00jd/view?usp=drivesdk
Wong 2006,WONG06_EA_vs_SHAM_MORPHTOTAL,TEAS,Nonpenetrating sham acupuncture,1_sham_placebo,13,12,IV PCA morphine consumption,First 3 postoperative days total,mg IV morphine,Mean/SD,33.9,12.8,42.3,21.3,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — NOT PRIMARY 24H OPIOID,,,Both groups also received scheduled oral dextropropoxyphene. Two randomized sham patients were excluded after serious postoperative complications.,not individually PDF-verified in this pass,https://drive.google.com/file/d/1-XmRdgXyZmOmKIDRhL80sxha5M2P00jd/view?usp=drivesdk
Wong 2006,WONG06_EA_vs_SHAM_OPIOID24,TEAS,Nonpenetrating sham acupuncture,1_sham_placebo,13,12,Exact total opioid exposure,0-24 h,mg MME,Not reported,,,,,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,Day labels are not defined as exact consecutive 24-h windows and scheduled dextropropoxyphene contributes additional opioid exposure.,not individually PDF-verified in this pass,https://drive.google.com/file/d/1-XmRdgXyZmOmKIDRhL80sxha5M2P00jd/view?usp=drivesdk
El-Rakshy 2009,ELR09_EA_vs_CTRL_MORPH24,EA,PCA alone/no acupuncture,3_usual_care,42,53,Total IV morphine analgesia,First 24 h,mg IV morphine,Mean/SD,35.3,18,36.9,18,Yes,unit x 1.0 mg IV MME,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,A,Yes,Yes,"Exact 0-24 h cumulative endpoint, mean/SD, sourced absolute MME conversion.",Yes,INCLUDE,1,1,Publication has irreconcilable allocation/analyzed group labels. Use Table 2 n=42 EA and n=53 control for this result; do not substitute overall study denominators.,not individually PDF-verified in this pass,https://drive.google.com/file/d/12AfIox-MgnMU15U-mdvZgaTKnukXKvAR/view?usp=drivesdk
El-Rakshy 2009,ELR09_EA_vs_CTRL_MORPH4,EA,PCA alone/no acupuncture,3_usual_care,40,53,Total IV morphine analgesia,First 4 h,mg IV morphine,Mean/SD,13.4,7.5,13.2,8.6,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — NOT PRIMARY 24H OPIOID,,,Again preserve outcome-specific n=40 EA and n=53 control.,not individually PDF-verified in this pass,https://drive.google.com/file/d/12AfIox-MgnMU15U-mdvZgaTKnukXKvAR/view?usp=drivesdk
An 2014,AN14_EA_vs_CTRL_FENT48,TEAS,No acupuncture control,3_usual_care,41,40,Total postoperative fentanyl PCIA dose,Through reported 48-h PCIA period,mg fentanyl,Mean/SD,0.67,0.09,0.73,0.12,No,,,100.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — NOT PRIMARY 24H OPIOID,,,Seven of 88 randomized patients were excluded from analysis; total fentanyl is not isolated to 0-24 h.,not individually PDF-verified in this pass,https://drive.google.com/file/d/1Ygu3g28udKuPe0OS95oge2ryIGNeJ0te/view?usp=drivesdk
An 2014,AN14_EA_vs_CTRL_OPIOID24,TEAS,No acupuncture control,3_usual_care,41,40,Exact cumulative postoperative fentanyl,0-24 h,mg/µg fentanyl,Not reported,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,Published bolus activity is split 0-6 h and 6-48 h; exact 0-24-h fentanyl cannot be reconstructed.,not individually PDF-verified in this pass,https://drive.google.com/file/d/1Ygu3g28udKuPe0OS95oge2ryIGNeJ0te/view?usp=drivesdk
Chen 2015,CHEN15Q_TEAS_vs_CTRL_RESCUEMORPH24,TEAS,Electrodes/device with no stimulation,1_sham_placebo,41,42,Cumulative rescue IV morphine dose derived from fixed 2-mg rescue administrations,0-24 h,mg IV morphine,Median/IQR,2,2–6,7,4–14,Yes,"Deterministic: rescue count x fixed 2 mg IV morphine. Multiplication by a positive constant is order-preserving, so median and IQR transform exactly (median 1 (1-3) -> 2 (2-6); 3.5 (2-7) -> 7 (4-14) mg IV morphine).",None. Fixed unit dose stated in source; morphine is the IV MME reference standard (factor 1.0); rescue morphine was the only postoperative opioid.,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,B+C,No,No,"Deterministically derivable to exact mg IV MME (Tier B), but the resulting distribution is median/IQR (Tier C). Enters S1 only if the S1 method accepts quantile data; otherwise S2.",Conditional,CONDITIONAL,0,1,"Source reports rescue-administration count 1 (1-3) vs 3.5 (2-7); each rescue administration was fixed at morphine 2 mg. Linear conversion to mg is exact, but the source itself reports counts rather than dose.",037_chen_2015_thyroidectomy_lund.pdf: 'intravenous morphine 2 mg as rescue analgesia to maintain a VAS score < 4'; Table: 'Cumulative number of rescue analgesia 1 (1-3) vs 3.5 (2-7) P=0.004',https://drive.google.com/file/d/1ZtE8GImDcpDJH1tOvzqazoh_S4Gd67oH/view?usp=drivesdk
Chen 2015 (Hyperalgesia),CHEN15H_TEAS_vs_SHAM_SUFKG24,TEAS,Electrodes/no-current sham,1_sham_placebo,29,30,Derived cumulative sufentanil dose from fixed 0.05 µg/kg bolus,0-24 h,µg/kg sufentanil,Median/IQR,0.15,0.1–0.2,0.35,0.3–0.4,Yes,"Deterministic in ug/kg: bolus count x fixed 0.05 ug/kg. Absolute ug requires individual body weights, which are not reported.",Absolute IV MME would require an assumed or group-average body weight - explicitly prohibited.,,weight-normalized unit; absolute dose needs individual body weights,E,"Yes (ug/kg, median/IQR - needs distribution-compatible method)",No,Valid weight-normalized endpoint; NOT convertible to absolute IV MME. Report separately in ug/kg; excluded from the absolute-MME primary and from S0-S3.,Conditional,CONDITIONAL,0,1,Exact linear conversion from 0.05 µg/kg per bolus × reported bolus count. Do not convert to absolute µg or MME without individual body weights.,040_chen_2015_hyperalgesia_lund.pdf: 'sufentanil 0.05 ug/kg as a bolus (VNRS score >= 4)'; T5 = 24 h after surgery,https://drive.google.com/file/d/13YKAZZsc2VQEPqkw1Ye40BYDZSRpI6N3/view?usp=drivesdk
Wu 2016,WU16_TAES_vs_ACTIVE_OPIOID24,TEAS,Active nonacupoint electrical stimulation (identical 2/100-Hz current),2_active_electrical,27,27,Exact cumulative postoperative opioid/tramadol consumption,0-24 h,mg tramadol (IV rescue),Not reported,,,,,No,,,,no sourced IV MME factor located for tramadol,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,"IV tramadol 100 mg was available as rescue, but group-specific cumulative dose/number of rescues for 0-24 h is not reported.",not individually PDF-verified in this pass,https://drive.google.com/file/d/1CXkJN0GF45qOQtRcL7EbgmbypBrNnmri/view?usp=drivesdk
