"screening_sequence","covidence_number","decision","covidence_reason","decision_basis","status"
"167","694","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"168","698","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"169","700","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"170","701","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"171","709","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"172","711","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"173","712","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"174","713","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"175","716","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"176","723","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"177","724","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"178","725","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"179","729","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"180","737","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"181","742","Exclude","Wrong intervention","Eligible TEAS/EA is inseparably bundled with an ineligible or unequal co-intervention, so its independent effect cannot be estimated.","submitted_in_covidence"
"182","744","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"183","747","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
