result_id,outcome,timepoint,contrast,population,n_i,n_c,rob2_assessment_id,linkage_status,overall,d1,d2,d3,d4,d5,selection_rule,alternative_assessments,provenance,human_final_signoff,models
V33-OD-0131,Any PONV,24 h,LU21_SINGLE_vs_SHAM_PONV24,Outcome-specific analyzed population,198.0,188.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,;ponv24_TEAS_sham;ponv24_TEAS_sham_point_window_sensitivity;ponv24_TEAS_broad_sham_sensitivity
V33-OD-0132,Cumulative postoperative sufentanil PCA consumption,0-24 h,LU21_POSTOP_OPIOID24,Outcome-specific analyzed population,,,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0133,Time to meet discharge criteria,Postoperative,LU22_TEAS_vs_CTRL_DISCHARGE,Outcome-specific analyzed population,47.0,47.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0134,Time to first flatus,Postoperative,LU22_TEAS_vs_CTRL_FLATUS,Outcome-specific analyzed population,47.0,47.0,AF26-E-006,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Some concerns,Some concerns,Some concerns,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_E_flatus.csv#E-006,NOT INDEPENDENTLY DOCUMENTED,;flatus_TEAS_sham;flatus_TEAS_sham_SMD_sensitivity;flatus_TEAS_sham_without_Zheng2025
V33-OD-0135,Time to first defecation,Postoperative,LU22_TEAS_vs_CTRL_DEFEC,Outcome-specific analyzed population,47.0,47.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,;defecation_TEAS_sham
V33-OD-0136,PCA attempts,24 h,LU22_TEAS_vs_CTRL_PCAATTEMPT24,Outcome-specific analyzed population,47.0,47.0,AF26-F-PCA-009,LINKED EXISTING RESULT ASSESSMENT,High,Low,Some concerns,Some concerns,High,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-PCA-009,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0137,Successful PCA deliveries,24 h,LU22_TEAS_vs_CTRL_PCADELIV24,Outcome-specific analyzed population,47.0,47.0,AF26-F-PCA-009,LINKED EXISTING RESULT ASSESSMENT,High,Low,Some concerns,Some concerns,High,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-PCA-009,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0138,Exact cumulative PCA opioid consumption,0-24 h,LU22_TEAS_vs_CTRL_OPIOID24,Outcome-specific analyzed population,47.0,47.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0139,Cumulative postoperative nausea,0-48 h,LUO26_TEAS_vs_SHAM_NAUSEA48,Outcome-specific analyzed population,138.0,139.0,AF26-D-008,LINKED EXISTING RESULT ASSESSMENT,High,Low,Low,Low,High,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_D_ponv.csv#D-008,NOT INDEPENDENTLY DOCUMENTED,;nausea48_TEAS_sham
V33-OD-0140,Cumulative postoperative vomiting,0-48 h,LUO26_TEAS_vs_SHAM_VOMIT48,Outcome-specific analyzed population,138.0,139.0,AF26-D-011,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Low,Low,Some concerns,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_D_ponv.csv#D-011,NOT INDEPENDENTLY DOCUMENTED,;vomiting48_TEAS_sham
V33-OD-0141,Complete response: no vomiting and no rescue antiemetic,0-48 h,LUO26_TEAS_vs_SHAM_COMPLETE48,Outcome-specific analyzed population,138.0,139.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0142,Postoperative NRS pain,24 h,LUO26_TEAS_vs_SHAM_NRS24,Outcome-specific analyzed population,138.0,139.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,;pain24_unclassified_TEAS_sham
V33-OD-0143,Published 'sufentanil equivalents' metric,Perioperative,LUO26_TEAS_vs_SHAM_OPIOIDEQUIV,Outcome-specific analyzed population,138.0,139.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0144,Cumulative postoperative oxycodone consumption,0-24 h,LUO26_TEAS_vs_SHAM_OPIOID24,Outcome-specific analyzed population,138.0,139.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0145,Perioperative neurocognitive disorder (PND),POD1,LONG25_TEAS_vs_CTRL_PND1,Outcome-specific analyzed population,27.0,26.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0146,Perioperative neurocognitive disorder (PND),POD3,LONG25_TEAS_vs_CTRL_PND3,Outcome-specific analyzed population,27.0,26.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0147,VAS pain intensity,24 h,LONG25_TEAS_vs_CTRL_VAS24,Outcome-specific analyzed population,27.0,26.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0148,PCIA solution consumption,48 h,LONG25_TEAS_vs_CTRL_PCIA48VOL,Outcome-specific analyzed population,27.0,26.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0149,PCIA compression count,48 h,LONG25_TEAS_vs_CTRL_PCIAPRESS48,Outcome-specific analyzed population,27.0,26.0,AF26-F-PCA-005,LINKED EXISTING RESULT ASSESSMENT,High,Some concerns,Some concerns,Some concerns,High,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-PCA-005,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0150,PONV incidence,Postoperative,LONG25_TEAS_vs_CTRL_PONV,Outcome-specific analyzed population,27.0,26.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0151,Exact cumulative postoperative sufentanil consumption,0-24 h,LONG25_TEAS_vs_CTRL_OPIOID24,Outcome-specific analyzed population,27.0,26.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0152,Time to first bowel motion by auscultation,Postoperative,LI21_TEAS_vs_SHAM_BOWEL,Outcome-specific analyzed population,140.0,140.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0153,Time to first flatus,Postoperative,LI21_TEAS_vs_SHAM_FLATUS,Outcome-specific analyzed population,140.0,140.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0154,Postoperative gastrointestinal dysfunction: no bowel sounds >48 h,Postoperative,LI21_TEAS_vs_SHAM_PGD,Outcome-specific analyzed population,140.0,140.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0155,VAS ≥4,6 h,LI21_TEAS_vs_SHAM_PAIN6,Outcome-specific analyzed population,140.0,140.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0156,Cumulative postoperative sufentanil consumption,0-24 h,LI21_TEAS_vs_SHAM_OPIOID24,Outcome-specific analyzed population,140.0,140.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0157,Moderate-to-severe pain (NRS ≥4),Within 24 h,LIU26ESD_TEAS_vs_SHAM_MODPAIN24,Outcome-specific analyzed population,58.0,62.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0158,NRS pain intensity,24 h,LIU26ESD_TEAS_vs_SHAM_NRS24,Outcome-specific analyzed population,58.0,62.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,;pain24_unclassified_TEAS_sham
V33-OD-0159,Any rescue IV morphine use,Through 48 h,LIU26ESD_TEAS_vs_SHAM_ANYMORPH,Outcome-specific analyzed population,58.0,62.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0160,PONV incidence,Postoperative follow-up,LIU26ESD_TEAS_vs_SHAM_PONV,Outcome-specific analyzed population,58.0,62.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0161,Cumulative postoperative morphine consumption,0-24 h,LIU26ESD_TEAS_vs_SHAM_MORPH24,Outcome-specific analyzed population,58.0,62.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0162,Postoperative cognitive decline (MMSE Z-score ≤ -2),POD1,LIU21_TEAS_vs_CTRL_POCD1,Outcome-specific analyzed population,50.0,50.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0163,VAS at rest,24 h,LIU21_TEAS_vs_CTRL_VASREST24,Outcome-specific analyzed population,50.0,50.0,AF26-C-002,LINKED EXISTING RESULT ASSESSMENT,High,Some concerns,Low,Low,High,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_C_pain24h.csv#C-002,NOT INDEPENDENTLY DOCUMENTED,;pain24_rest_TEAS_sham
V33-OD-0164,VAS with coughing,24 h,LIU21_TEAS_vs_CTRL_VASCOUGH24,Outcome-specific analyzed population,50.0,50.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,;pain24_movement_TEAS_sham
V33-OD-0165,PCA pump compressions,0-24 h,LIU21_TEAS_vs_CTRL_PCAPRESS24,Outcome-specific analyzed population,50.0,50.0,AF26-F-PCA-004,LINKED EXISTING RESULT ASSESSMENT,High,Some concerns,Some concerns,Low,High,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-PCA-004,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0166,Cumulative postoperative sufentanil consumption,0-24 h,LIU21_TEAS_vs_CTRL_OPIOID24,Outcome-specific analyzed population,50.0,50.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0167,Remifentanil consumption,Intraoperative,LIU26BURN_TEAS_vs_SHAM_REMI,Outcome-specific analyzed population,43.0,43.0,AF26-F-intra-001,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Some concerns,Low,Low,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-intra-001,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0168,Nausea-vomiting,Through POD1 / approximately 24 h,LIU26BURN_TEAS_vs_SHAM_PONV24,Outcome-specific analyzed population,43.0,43.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,;ponv24_TEAS_sham;ponv24_TEAS_sham_point_window_sensitivity;ponv24_TEAS_broad_sham_sensitivity
V33-OD-0169,Any rescue dezocine use,Through POD1,LIU26BURN_TEAS_vs_SHAM_RESCUE,Outcome-specific analyzed population,43.0,43.0,AF26-F-rescue-opioid-008,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Some concerns,Low,Low,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-rescue-opioid-008,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0170,Resting F-VAS pain,24 h,LIU26BURN_TEAS_vs_SHAM_FVAS24,Outcome-specific analyzed population,43.0,43.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0171,Complete postoperative opioid/MME exposure,0-24 h,LIU26BURN_TEAS_vs_SHAM_OPIOID24,Outcome-specific analyzed population,43.0,43.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0172,New-onset supraventricular tachycardia (SVT),First 24 h,LIU25_EA_vs_CTRL_SVT24,Outcome-specific analyzed population,38.0,39.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0173,Total sleep time measured by ambulatory sleep recorder,First postoperative night,LIU25_EA_vs_CTRL_TSTN1,Outcome-specific analyzed population,38.0,39.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0174,VAS pain intensity,24 h,LIU25_EA_vs_CTRL_PAIN24,Outcome-specific analyzed population,38.0,39.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0175,Exact cumulative postoperative opioid consumption,0-24 h,LIU25_EA_vs_CTRL_OPIOID24,Outcome-specific analyzed population,38.0,39.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0176,Postoperative NRS pain,24 h,LI22_EA_vs_SHAM_NRS24,Outcome-specific analyzed population,39.0,40.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0177,Mechanical pain threshold around surgical incision,24 h,LI22_EA_vs_SHAM_MPT24,Outcome-specific analyzed population,39.0,40.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0178,Exact cumulative postoperative opioid consumption,0-24 h,LI22_EA_vs_SHAM_OPIOID24,Outcome-specific analyzed population,39.0,40.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0179,CRBD incidence,End of surgery,LIANG21_TEAS_vs_CTRL_CRBD_END,Outcome-specific analyzed population,35.0,35.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0180,CRBD incidence,PACU discharge,LIANG21_TEAS_vs_CTRL_CRBD_PACU,Outcome-specific analyzed population,35.0,35.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0181,CRBD incidence,24 h,LIANG21_TEAS_vs_CTRL_CRBD24,Outcome-specific analyzed population,35.0,35.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0182,CRBD incidence,48 h,LIANG21_TEAS_vs_CTRL_CRBD48,Outcome-specific analyzed population,35.0,35.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0183,Exact cumulative postoperative opioid consumption,0-24 h,LIANG21_TEAS_vs_CTRL_OPIOID24,Outcome-specific analyzed population,35.0,35.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0184,Cumulative IV PCA morphine delivered,First 24 postoperative hours,LEE11_LOW_vs_SHAM_MORPH24,Outcome-specific analyzed population,10.0,12.0,CORRECTED-V34-040,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Some concerns,Low,Some concerns,Low,Some concerns,Exact result applicability manually mapped to latest consolidated corrected record; supersedes legacy selector.,AF26-F-postop-dose-002,v34 master: Corrected_RoB2 row41,NOT INDEPENDENTLY DOCUMENTED,;opioid_partial_TEAS_sham
V33-OD-0185,Cumulative IV PCA morphine delivered,First 24 postoperative hours,LEE11_HIGH_vs_SHAM_MORPH24,Outcome-specific analyzed population,12.0,12.0,AF26-F-postop-dose-002,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Some concerns,Some concerns,Some concerns,Low,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-postop-dose-002,NOT INDEPENDENTLY DOCUMENTED,;opioid_partial_TEAS_sham
V33-OD-0186,Cumulative IV PCA morphine delivered,First 24 postoperative hours,LEE11_LOW_vs_CONTROL_MORPH24,Outcome-specific analyzed population,10.0,13.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0187,VAS pain intensity,24 h,LEE11_LOW_vs_SHAM_VAS24,Outcome-specific analyzed population,10.0,12.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,;pain24_Lee_low_arm_only
V33-OD-0188,Cumulative analgesic pump compressions,48 h,JIN23_2HZ_vs_SHAM_NAPC48,Outcome-specific analyzed population,53.0,52.0,AF26-F-PCA-007,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Some concerns,Some concerns,Some concerns,Low,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-PCA-007,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0189,Cumulative analgesic pump compressions,48 h,JIN23_20100_vs_SHAM_NAPC48,Outcome-specific analyzed population,53.0,52.0,AF26-F-PCA-007,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Some concerns,Some concerns,Some concerns,Low,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-PCA-007,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0190,Published 'fentanyl consumption' / PCIA solution volume,24 h,JIN23_2HZ_vs_SHAM_VOL24,Outcome-specific analyzed population,53.0,52.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0191,Published 'fentanyl consumption' / PCIA solution volume,24 h,JIN23_20100_vs_SHAM_VOL24,Outcome-specific analyzed population,53.0,52.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0192,Exact cumulative fentanyl mass / MME,0-24 h,JIN23_OPIOID24_MASS,Outcome-specific analyzed population,,,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0193,Time to first flatus,Postoperative,JIANG26_TEAS_vs_SHAM_FLATUS_PP,Outcome-specific analyzed population,294.0,293.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0194,Time to first flatus,Modified-ITT-type analysis among intervention recipients,JIANG26_TEAS_vs_SHAM_FLATUS_MITT,Outcome-specific analyzed population,296.0,297.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0195,PONV incidence,Within 24 h,JIANG26_TEAS_vs_SHAM_PONV24,Outcome-specific analyzed population,294.0,293.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,;ponv24_TEAS_sham;ponv24_TEAS_sham_point_window_sensitivity;ponv24_TEAS_broad_sham_sensitivity
V33-OD-0196,Remifentanil consumption,Intraoperative,JIANG26_TEAS_vs_SHAM_INTRAOP_REMI,Outcome-specific analyzed population,294.0,293.0,AF26-F-exposure-006,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Some concerns,Some concerns,Some concerns,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-exposure-006,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0197,Exact cumulative postoperative opioid consumption,0-24 h,JIANG26_TEAS_vs_SHAM_OPIOID24,Outcome-specific analyzed population,294.0,293.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0198,Time to first flatus,Postoperative,HUANG25_EA_vs_UC_FLATUS,Outcome-specific analyzed population,43.0,45.0,CORRECTED-V34-043,LINKED EXISTING RESULT ASSESSMENT,High,Low,High,High,High,Low,Exact result applicability manually mapped to latest consolidated corrected record; supersedes legacy selector.,,v34 master: Corrected_RoB2 row44,NOT INDEPENDENTLY DOCUMENTED,;flatus_EA_usual;flatus_EA_usual_SMD_sensitivity
V33-OD-0199,Time to first defecation,Postoperative,HUANG25_EA_vs_UC_DEFEC,Outcome-specific analyzed population,43.0,45.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,;defecation_EA_usual
V33-OD-0200,Exact cumulative postoperative opioid consumption,0-24 h,HUANG25_EA_vs_UC_OPIOID24,Outcome-specific analyzed population,43.0,45.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0201,VAS during walking/knee movement,POD1,HUANG24_CONTRA_vs_SHAM_VASD1,Outcome-specific analyzed population,38.0,38.0,CORRECTED-V34-044,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Some concerns,Low,Some concerns,Low,Exact result applicability manually mapped to latest consolidated corrected record; supersedes legacy selector.,,v34 master: Corrected_RoB2 row45,NOT INDEPENDENTLY DOCUMENTED,;pain24_movement_EA_sham;pain24_movement_EA_sham_with_He
V33-OD-0202,VAS during walking/knee movement,POD1,HUANG24_IPSI_vs_SHAM_VASD1,Outcome-specific analyzed population,38.0,38.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,;pain24_movement_EA_sham;pain24_movement_EA_sham_with_He
V33-OD-0203,Additional PCA dose/release,"POD2; 24 h after first EA session, not necessarily 24 h after surgery",HUANG24_CONTRA_vs_SHAM_PCA_D2,Outcome-specific analyzed population,38.0,38.0,AF26-F-postop-dose-009,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Some concerns,Some concerns,Some concerns,Low,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-postop-dose-009,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0204,Exact cumulative postoperative opioid dose,0-24 h,HUANG24_OPIOID24,Outcome-specific analyzed population,38.0,38.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0205,PONV incidence,Postoperative / reported review window,HOU23_TEAS_vs_SHAM_PONV,Outcome-specific analyzed population,36.0,36.0,CORRECTED-V34-045,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Low,Low,Some concerns,Low,Exact result applicability manually mapped to latest consolidated corrected record; supersedes legacy selector.,,v34 master: Corrected_RoB2 row46,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0206,VAS-P pain,"D2 = one day after surgery, not exact clock-time 24 h",HOU23_TEAS_vs_SHAM_PAIN_D2,Outcome-specific analyzed population,36.0,36.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0207,Any rescue flurbiprofen use,Postoperative,HOU23_TEAS_vs_SHAM_RESCUE,Outcome-specific analyzed population,36.0,36.0,AF26-F-rescue-nonopioid-002,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Some concerns,Some concerns,Low,Some concerns,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-rescue-nonopioid-002,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0208,Actual total postoperative sufentanil consumption,0-24 h,HOU23_TEAS_vs_SHAM_OPIOID24,Outcome-specific analyzed population,36.0,36.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
