Canonicalstudy,Reconciliationbatch,Solreconciliationstatus,Solsourcecorrectionnote,Identitycorrection,Antigravitystudylabel,Antigravitystudykey,CovidenceinternalID,Candidatesourceresultsummary,Knownfabricatedpayloadsignatu,Antigravityauthorcontactflag,CorrectedRoB2complete,CorrectedselectedRoBresult,Correctedresulttimepoint,CorrectedoverallRoB2,Analysisreadiness,Masteruserule,Sourcesummarystatus,Sourcehierarchy,Projectsourcefolder,Reconciliationindex,Sourcenormalizedoutcomerows
Ma 2026,Batch 17,FULL REPLACEMENT,Partially randomized design converted into a conventional sham RCT; fabricated pain outcomes.,,Ma 2026,2,1879895855,"**Resting NRS pain 24h (PRIMARY)**: Group T (TEAS, n=17) 1.76 ± 0.67 vs Group S (Control, n=16) 2.64 ± 0.72 (P < 0.05) [MD -0.88, 95% CI -1.36 to -0.40]. **R...",Yes,Yes,Yes,Resting NRS pain,24 h,High,PARTIAL — selected RoB corrected; graph-only pain/sleep and 24-h PONV rows added,Use only randomized T vs S contrast; Group C is observational; exact pain/AIS values need digitization or author data,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,5
Lu 2021,Batch 8,FULL REPLACEMENT,Changes 576-patient three-arm chronic-pain trial into fabricated 24-h pain result.,,Lu 2021,414,1879896580,"**Resting NRS pain 24h (PRIMARY)**: Combined TEAS (n=190) median 1.0 (IQR 0, 1.0) [Wan mean 1.0 ± 0.7] vs Single TEAS (n=198) median 0.9 (IQR 0, 1.3) [Wan me...",Yes,Yes,Yes,Post-mastectomy chronic pain incidence,6 months,High,PARTIAL — selected RoB corrected; chronic-pain/remifentanil/PONV rows added,Use raw chronic-pain counts because printed RR/P-values conflict; exact 24-h sufentanil consumption remains missing,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,7
Lu 2022,Batch 10,FULL REPLACEMENT,"Changes 100/94 sample to 240 complete, intervention schedule and flatus result.",,Lu 2022,317,1879896426,"**Resting VAS pain 24h (PRIMARY)**: TEAS group (n=47) median 2.2 (0.0, 10.0) [estimated mean 2.2 ± 2.5] vs Control group (n=47) median 1.2 (0.0, 8.1) [estima...",Yes,Yes,Yes,Time to meet discharge criteria,Postoperative,High,PARTIAL — selected RoB corrected; discharge/GI/PCA-demand rows added,PCA attempts/deliveries are opioid-use proxies only; do not convert to dose without PCA drug/prescription,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,6
Luo 2026,Batch 18,RE-ADJUDICATE,Study/result scaffolding source-matched; incomplete sensory masking and exact outcome definition require fresh signaling logic.,,Luo 2026,35,1879895932,"**Postoperative pain NRS 24h (PRIMARY)**: TEAS group (n=138) 1.30 ± 0.92 vs Sham TEAS group (n=139) 1.65 ± 0.95 (P < 0.01) [MD -0.35, 95% CI -0.57 to -0.13]....",Yes,Yes,Yes,Cumulative postoperative nausea,0-48 h,Some concerns,PARTIAL — source-matched RoB re-adjudicated; nausea/vomiting/pain/opioid-QC rows added,Use separate nausea/vomiting results; exact 24-h oxycodone/MME remains unavailable and published opioid-equivalent unit is unresolved,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,6
Long 2025,Batch 16,FULL REPLACEMENT,"Invents 160/160, sham/masking and PND result; source has 60 randomized/53 analyzed and denominator inconsistencies.",,Long 2025,106,1879896090,"**Resting VAS pain 24h (PRIMARY)**: Group A (EA, n=27) 2.78 ± 0.97 vs Group C (Sham, n=26) 3.96 ± 0.96 (P < 0.001) [MD -1.18, 95% CI -1.70 to -0.66]. **Resti...",Yes,Yes,Yes,Perioperative neurocognitive disorder (PND),POD3,High,PARTIAL — selected RoB corrected; PND/pain/PCIA/PONV rows added,Do not derive PND denominators from inconsistent percentages; 24-h opioid dose remains unavailable,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,7
Li 2021,Batch 7,FULL REPLACEMENT,Changes 306 randomized/280 PP trial to 120/120 and fabricates mean/SD flatus result.,,Li 2021,437,1879896618,"**Length of hospital stay (days)**: TEAS group (n=140) 6.2 ± 3.3 vs Sham TEAS group (n=140) 8.1 ± 3.6 (P < 0.01) [MD -1.90, 95% CI -2.71 to -1.09]. **Postope...",Yes,Yes,Yes,Time to first bowel motion by auscultation,Postoperative,High,PARTIAL — selected RoB corrected; GI/pain/opioid-QC rows added,Use per-protocol denominators transparently; exact postoperative sufentanil dose cannot be reconstructed from implausible printed pump unit,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,5
Liu 2026 (ESD),Batch 18,FULL REPLACEMENT,False 129/129 complete analysis and fabricated primary event counts/propofol values.,Liu 2025 → Liu 2026 (ESD),Liu 2025,69,1879896009,"**Resting pain NRS 24h (PRIMARY)**: TEAS group (n=58) 1.2 ± 1.3 vs Sham TEAS group (n=62) 2.8 ± 1.9 (P < 0.01) [MD -1.60, 95% CI -2.18 to -1.02]. **Resting p...",Yes,Yes,Yes,Moderate-to-severe pain (NRS ≥4),Within 24 h,High,PARTIAL — selected RoB corrected; pain/morphine/PONV rows added,Binary rescue morphine is usable; cumulative 24-h morphine/MME is unavailable,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,5
Liu 2021,Batch 8,FULL REPLACEMENT,"Changes sample, acupoints, schedule, POCD definition/timepoint and numerical result.",,Liu 2021,424,1879896597,"**Resting VAS pain 24h (PRIMARY)**: TEAS group (n=50) 2.52 ± 0.505 vs Control group (n=50) 2.66 ± 0.626 (P = 0.221) [MD -0.14, 95% CI -0.36 to 0.08]. **Movem...",Yes,Yes,Yes,Postoperative cognitive decline (MMSE Z-score ≤ -2),POD1,Some concerns,PARTIAL — selected RoB corrected; POCD/pain/PCA-demand rows added,Do not reconstruct 24-h sufentanil dose from press counts or ambiguous pump formulation,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,5
Liu 2026 (burn),Batch 18,FULL REPLACEMENT,Misnamed Zhou 2026 RoB; entirely different invented colorectal/flatus trial.,Liu 2026 → Liu 2026 (burn),Liu 2026,48,1879895960,"**Composite PONV 0-24h (PRIMARY)**: TEAS group (n=43) 7/43 (16.3%) vs Sham TEAS group (n=43) 16/43 (37.2%) (P = 0.028) [RR 0.44, 95% CI 0.20 to 0.96]. **Part...",Yes,Yes,Yes,Intraoperative remifentanil consumption,Intraoperative,Some concerns,PARTIAL — selected RoB corrected; remifentanil/PONV/rescue/pain-QC rows added,Use Results/Figure 4 remifentanil medians; continuous 24-h postoperative MME remains non-calculable,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,5
Liu 2025,Batch 16,FULL REPLACEMENT,"Changes sample, acupoints/schedule, sleep instrument and arrhythmia/sleep results.",,Liu 2025,75,1879896021,"**Pain VAS 24h (PRIMARY)**: Depicted graphically in Figure 2 (~2.0/10 in both groups, requires author contact for numeric mean ± SD). **Intraop remifentanil ...",Yes,Yes,Yes,New-onset supraventricular tachycardia (SVT),First 24 h,Some concerns,PARTIAL — selected RoB corrected; SVT/sleep/pain-QC rows added,Use objective SVT and sleep-recorder data; 24-h pain remains graph-only and exact 24-h opioid consumption is unavailable,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,4
Li 2022,Batch 19,FULL REPLACEMENT,Changes EA protocol/dropout arm and fabricates significant 24-h mechanical-threshold and sufentanil results.,,Li 2022,359,1879896493,**Pain NRS 24h (PRIMARY)**: EA group (n=39) median 1.5 (1.0-3.0) vs Sham EA group (n=40) median 1.6 (1.0-3.0) (P = 0.223) (requires author contact for parame...,Yes,Yes,Yes,Postoperative NRS pain,24 h,Some concerns,PARTIAL — selected RoB corrected; 24-h pain and mechanical-threshold QC rows added,Do not reuse fabricated significant 24-h mechanical-threshold or sufentanil results,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,3
Lin 2002,Batch 20,FULL REPLACEMENT,Changes ST36-only preop EA to ST36+SP6/intraoperative; wrong PCA settings and fabricated 24-h morphine means.,,Lin 2002,951,1879897477,"**Cumulative 24h PCA morphine (mg) (PRIMARY)**: High-EA 100 Hz (Group IV, n=25) 15.0 ± 10.7 mg vs Sham-EA (Group II, n=25) 30.2 ± 14.4 mg vs Control (Group I...",Yes,Yes,Yes,Cumulative IV PCA morphine delivered,24-h test period,Some concerns,PARTIALLY READY — corrected RoB available for one selected result; confirm outcome matches planned synthesis,Use source data; DO NOT use original stored RoB. Rebuild result-specific RoB.,Candidate summary from Antigravity report; use only after source-level confirmation,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,4
Liang 2021,Batch 8,FULL REPLACEMENT,"Changes anesthesia/acupoints/timing, ignores 75 randomized/70 analyzed, invents unreported 6-h CRBD result.",,Liang 2021,432,1879896610,"**QoR-40 at 24h (PRIMARY)**: TEAS group (n=35) 191.7 ± 4.4 vs Control group (n=35) 189.1 ± 4.3 (P = 0.007) [MD 2.6, 95% CI 0.6 to 4.6]. **QoR-40 at 48h**: TE...",Yes,Yes,Yes,CRBD incidence,24 h,High,PARTIAL — selected RoB corrected; source CRBD timepoints added,Use actual end-surgery/PACU/24-h/48-h CRBD timepoints; discard the fabricated 6-h endpoint,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,5
Lee 2011,Batch 2,SPECIAL / SOURCE-QC,Four-arm trial; preserve direct cumulative Table 8 values; source interval/cumulative inconsistency and two low-frequency-arm exclusions.,,Lee 2011,812,1879897255,"**Cumulative 24h PCA morphine (mg) (PRIMARY)**: Dense-sparse TEAS (Group 4, n=10) 29.29 ± 8.89 mg vs Sham TEAS (Group 2, n=12) 34.20 ± 6.40 mg vs Control (Gr...",Yes,No,Yes,Cumulative IV PCA morphine delivered,First 24 postoperative hours,Some concerns,PARTIAL — selected RoB corrected; four-arm 24-h morphine/pain rows added,Preserve four arms and direct cumulative Table 8 values; shared comparator must be handled statistically,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,4
Jin 2023,Batch 11,FULL REPLACEMENT,"Collapses three arms, invents anesthesia/schedule, complete follow-up and pump/fentanyl results.",Jin 2022 → Jin 2023,Jin 2022,326,1879896440,**Cumulative 24h PCIA fentanyl volume (mL) (PRIMARY)**: 2-Hz EA (n=53) 39.31 ± 15.58 mL vs 20/100-Hz EA (n=53) 45.72 ± 16.92 mL vs Sham EA (n=52) 56.54 ± 12....,Yes,Yes,Yes,Cumulative analgesic pump compressions,48 h,High,PARTIAL — selected RoB corrected; three-arm pump-demand/24-h PCIA-volume rows added,PCIA volume in mL is source-valid but cannot become fentanyl mass/MME until concentration is recovered,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,5
Jiang 2026,Batch 17,FULL REPLACEMENT,"Treats PP 587 as randomized/ITT, changes protocol and flatus value/HR.",,Jiang 2026,4,1879895860,"**24h PONV incidence (PRIMARY)**: TEAS group (n=294) 44/294 (15.0%) vs Sham-TEAS group (n=293) 67/293 (22.9%) (P = 0.015) [RR 0.59, 95% CI 0.39 to 0.90]. **T...",Yes,Yes,Yes,Time to first flatus,Modified-ITT-type analysis,Some concerns,"PARTIAL — selected RoB corrected; PP/mITT flatus, PONV and intraop-opioid rows added","Never call 587 randomized or full ITT; retain 614 randomized, 593 intervention recipients and 587 PP separately",SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,5
Huang 2025,Batch 16,FULL REPLACEMENT,Invents three-arm colorectal trial and 24-h sufentanil values; source is two-arm postoperative EA with 13 exclusions.,,Huang 2025,131,1879896131,"**Time to first flatus (hours) (PRIMARY)**: EA group (n=43) 36.4 ± 8.0 vs Standard care group (n=45) 42.2 ± 8.5 (P < 0.001) [MD -5.8 h, HR 1.9, 95% CI 1.2 to...",Yes,Yes,Yes,Time to first flatus,Postoperative,High,PARTIAL — selected RoB corrected; GI and opioid-missingness rows added,Use 101 randomized/88 analyzed; no exact PCA opioid dose is available,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,3
Huang 2017,Batch 5,NO MATCHING RoB,Source extraction/Gemini reconciled; four-arm frequency trial with ambiguous postoperative dose window; fresh result-specific RoB needed.,,Huang 2017,3811,1882881457,**Intraop remifentanil (PRIMARY)**: Control (n=20) 0.1617 ± 0.037 µg/kg/min vs 2/100 Hz TEAS (n=20) 0.1128 ± 0.034 µg/kg/min (P <= 0.001) [MD -0.0489]. **PAC...,Yes,Yes,Yes,Total opioid as remifentanil-equivalent rate,Intraoperative,Some concerns,PARTIAL — fresh RoB created; four-arm intraoperative and postoperative-window-QC rows added,Use 2/100-Hz intraoperative signal as direct source result; exact postoperative 24-h sufentanil remains unavailable,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,5
Huang 2024,Batch 13,FULL REPLACEMENT,Attached Liu RoB is unrelated colorectal/TEAS trial with fabricated flatus endpoint.,Huang 2023 → Huang 2024,Huang 2023,245,1879896311,**Pain VAS 24h movement (PRIMARY)**: Contralateral EA (n=38) 53.16 ± 9.99 vs Ipsilateral EA (n=38) 53.50 ± 10.79 vs Sham EA (n=38) 56.71 ± 9.84 (0-100 scale)...,Yes,Yes,Yes,VAS during walking/knee movement,POD1,Some concerns,PARTIAL — selected RoB corrected; three-arm pain/PCA-proxy rows added,Preserve three arms; PCA release cannot be converted to opioid mass and POD2 is not exact 24 h after surgery,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,4
Hou 2023,Batch 11,FULL REPLACEMENT,Stored RoB invents 186-woman gynecologic trial and 24-h sufentanil outcome not reported.,,Hou 2023,295,1879896391,"**PONV 0-24h (PRIMARY)**: TEAS group (n=36) 4/36 (11.1%) vs Sham TEAS group (n=36) 12/36 (33.3%) (P = 0.023) [RR 0.33, 95% CI 0.12 to 0.92]. **Participants r...",Yes,Yes,Yes,PONV incidence,Postoperative,Some concerns,PARTIAL — selected RoB corrected; PONV/pain/rescue/PCIA-missingness rows added,Do not convert fixed basal sufentanil exposure into actual 24-h consumption; bolus use is unreported,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,4
He 2026 (hepatectomy/JIS),Batch 17,FULL REPLACEMENT,Replaces multicenter PC6/PONV trial with fabricated colorectal/flatus trial.,He 2026 (Hepatectomy) → He 2026 (hepatectomy/JIS),He 2026 (Hepatectomy),25,1879895909,"**Opioid 0-24h (PRIMARY)**: TEAS group (n=80) 20.0 ± 2.5 mg IV MME vs Control group (n=79) 20.6 ± 4.5 mg IV MME (P = 0.30) [MD -0.6 mg, 95% CI -1.7 to 0.5]. ...",Yes,No,Yes,Total postoperative opioid consumption in morphine equivalents,0-24 h,Some concerns,PARTIAL — fresh RoB created; supplemental 24-h MME and PONV/PCA-demand rows added,This is a valid source-reported 24-h MME endpoint; do not infer opioid sparing from fewer PCA presses because total MME was unchanged,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,3
He 2026 (breast/WJCO),Batch 17,FULL REPLACEMENT,"Changes cancer type, invasive EA protocol and pain result; invents concealment and other outcomes.",He 2026 → He 2026 (breast/WJCO),He 2026,41,1879895945,**Pain VAS 24h at rest (PRIMARY)**: EA group (n=65) 1.789 ± 0.174 vs Control group (n=65) 2.692 ± 0.174 (P < 0.01) [MD -0.903]. **Pain VAS 24h during movemen...,Yes,Yes,Yes,Moderate-to-severe movement-evoked pain (VAS >4),24 h,Some concerns,PARTIAL — fresh RoB created; 24-h pain rows added,No quantitative postoperative opioid endpoint exists because rescue morphine consumption was not recorded,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,4
Gu 2019,Batch 6,FULL REPLACEMENT,"Stored RoB invents three arms, wrong treatment schedule/denominators and flatus values.",,Gu 2019,848,1881841223,**Pain VAS 24h at rest (PRIMARY)**: L-TEAS (n=58) 1.98 ± 0.39 vs C-TEAS (n=59) 2.72 ± 0.73 (P < 0.05) [MD -0.74]. **PONV 0-24h (PRIMARY)**: L-TEAS 7/58 (12.1...,Yes,Yes,Yes,Time to first flatus,Postoperative,Some concerns,PARTIAL — selected RoB corrected; GI/pain/PCIA rows added,Exact 24-h PCIA/sufentanil is graph-only; do not interpolate from 8-h and 36-h values,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,8
Guo 2023,Batch 11,FULL REPLACEMENT,Replaces cognition-focused lung-cancer trial with fabricated bariatric GI-recovery trial.,,Guo 2023,260,1879896335,**Intraop remifentanil**: TEAS (n=55) 0.87 ± 0.30 mg vs Sham-TEAS (n=55) 1.01 ± 0.39 mg (P = 0.040). **Intraop sufentanil**: TEAS 29.42 ± 7.62 µg vs Sham-TEA...,Yes,Yes,Yes,Postoperative cognitive dysfunction,POD1,High,PARTIAL — selected RoB corrected; POCD/intraop-opioid/graph-only pain rows added,Use complete-case POCD only with high attrition caution; actual postoperative sufentanil consumption is missing,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,6
Grech 2016,Batch 5,FULL REPLACEMENT,Stored RoB describes a different 40-patient abdominal-surgery morphine trial.,,Grech 2016,619,1879896952,"**Opioid 0-24h (PRIMARY)**: Measured-not-reported numerically in text/tables (graph-only in Fig 1, converted to missing_data: true, N=10 EA vs N=9 Control). ...",Yes,Yes,Yes,PACU analgesic requirement in women-only subgroup,PACU,High,PARTIAL — fresh RoB created; graph-only analgesic/pain rows added,No exact 24-h opioid result exists; do not use fabricated 28-vs-36 mg values from the invalid RoB,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,3
Gao 2021,Batch 7,FULL REPLACEMENT,Changes 610-person 10-center postoperative TEAS trial to 400-person fabricated design/result.,,Gao 2021,400,1879896559,**Opioid 0-24h (PRIMARY)**: Measured-not-reported (requires author contact). **Intraop sufentanil**: TEAS (n=303) 30.0 µg (IQR 25.0-35.0) [mean ~30.00 ± 7.41...,Yes,Yes,Yes,Postoperative paralytic ileus,No flatus >72 h,Some concerns,PARTIAL — selected RoB corrected; POI/GI rows added,Full ITT source data usable for GI outcomes; postoperative opioid dose remains unreported,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,5
El-Rakshy 2009,Batch 2,SPECIAL / SOURCE-QC,Publication has irreconcilable allocation/analyzed denominators; preserve outcome-specific n and direct published morphine values.,,El-Rakshy 2009,837,1879897344,**Opioid 0-24h (PRIMARY)**: PCA + acupuncture EA (n=42) 35.3 ± 18.0 mg morphine vs PCA alone (n=53) 36.9 ± 18.0 mg morphine (P = 0.961). **Opioid 0-4h**: EA ...,Yes,Yes,Yes,Total IV morphine analgesia,First 24 h,High,SOURCE-NORMALIZED — OUTCOME-SPECIFIC DENOMINATORS REQUIRED,Use n=42 EA and n=53 control for the 24-h morphine result; overall group labels/denominators are irreconcilable.,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,2
Coura 2011,Batch 1,SPECIAL / SOURCE-QC,10/32 post-randomization exclusions; exact 24-h pain point unresolved; supplemental opioid inclusion unclear.,,Coura 2011,838,1879897266,**Opioid 0-24h (PRIMARY)**: Treatment EA (n=13) 13.1 ± 2.2 µg/kg fentanyl vs Control Sham (n=9) 16.3 ± 1.6 µg/kg fentanyl (P < 0.002) [PCA bolus: 4.1 ± 2.0 v...,Yes,Yes,Yes,Cumulative fentanyl,First 24 h,High,SOURCE-NORMALIZED — QC HOLD,10/32 post-randomization exclusions; exact 24-h fentanyl is source reported but missing-data risk is high.,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,1
Chen 1998,Batch 1,SPECIAL / SOURCE-QC,Four-arm RCT; locked two-arm Covidence structure is invalid; preserve all arms and direct 24-h hydromorphone values.,,Chen 1998,969,1879897506,**Opioid 0-24h (PRIMARY)**: Group IV Acupoint TEAS (n=25) 6.5 ± 3.5 mg hydromorphone vs Group I Sham TEAS (n=25) 10.7 ± 5.0 mg (P < 0.05) [OME: 130 mg vs 214...,Yes,Yes,Yes,Cumulative IV PCA hydromorphone,First 24 h,Some concerns,SOURCE-NORMALIZED — FOUR-ARM STRUCTURE RETAINED,Keep all four randomized arms and shared sham handling; do not collapse to a two-arm study.,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,3
