LockID,Target,Canonicalmasterstudy,Sourcestudylabel,Outcomeestimand,Window,Sourceverifiedresult,D1,D2,D3,D4,D5,OverallRoB,Endpointstratum,Synthesisstatus,Includestrictmodel,Includesensitivitymodel,Narrativeevidencemap,Excludeholdreason,Authorcontactpriority,Overlapfamily,v20comparisonIDs,v20matchcount,Reconciliationaction,Reconciliationnote,KeyQCnote,SourceRoBfile,v20sourceURLs
F-intra-013,F-intra,Pan 2023,Pan 2023,remifentanil,intraoperative,740.1±276.9 vs854.0±287.5 μg; P=0.04,Some concerns,High,High,Some concerns,Some concerns,High,F_intraop_titrated_requirement,SENSITIVITY / HIGH RoB,0,1,0,,,,PAN23_TEAS_vs_CONTROL_REMI,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,15/120 excluded.,Pan_2023_RoB2_intraoperative_remifentanil.md,
F-exposure-001,F-exposure,Li 2022,Li 2022,Fixed-rate remifentanil exposure,intraoperative,2009±143.2 vs1989±158.7 μg; P=0.555,—,—,—,—,—,—,F_intraop_fixed_or_unclear_exposure,DO NOT POOL with titrated,0,0,1,DO NOT POOL with titrated,,,LI22_EA_vs_SHAM_REMI_FIXED,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,Fixed 0.3 μg/kg/min.,Li_2022_TargetF_remifentanil_rescue_eligibility_audit.md,
F-exposure-002,F-exposure,Chen 2015 (Hyperalgesia),Chen 2015 hyperalgesia,Fixed-target remifentanil exposure,intraoperative,1691±37 vs1718±43 μg; P=0.461,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,F_intraop_fixed_or_unclear_exposure,DO NOT POOL with titrated,0,0,1,DO NOT POOL with titrated,,,CHEN15H_TEAS_vs_SHAM_REMI_FIXED,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,Fixed target 5.0 ng/mL.,Chen_2015_hyperalgesia_RoB2_rescue_sufentanil_0_24h.md,
F-exposure-003,F-exposure,Xie 2014,Xie 2014,Intraoperative remifentanil exposure,intraoperative,1.89±0.63 vs1.90±0.59 mg,Some concerns,Some concerns,Low,Low,Some concerns,Some concerns,F_intraop_fixed_or_unclear_exposure,KEEP SEPARATE,0,1,0,,,,XIE14_EAS_vs_SHAM_REMI,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,Postoperative opioid effect is the main signal.,Xie_2014_RoB2_intraoperative_remifentanil.md,
F-exposure-004,F-exposure,Ntritsou 2014,Ntritsou 2014,Intraoperative remifentanil exposure,intraoperative,1003.6±522.7 vs1041.9±631.9 μg; P=0.783,Some concerns,Some concerns,Low,Low,Some concerns,Some concerns,F_intraop_fixed_or_unclear_exposure,KEEP SEPARATE,0,1,0,,,,NTRI14_EA_vs_SHAM_REMI,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,Intraoperative anesthetists knew allocation.,Ntritsou_2014_RoB2_intraoperative_remifentanil.md,https://drive.google.com/file/d/1u_kNuuXF8upB3gJA2aDq8NldYDfhnWy3/view?usp=drivesdk
F-exposure-005,F-exposure,Sun 2017,Sun 2017,Author-defined morphine-equivalent intraoperative opioid,intraoperative,1.5–1.6 mg/kg across arms; P=0.303,Low,Some concerns,Some concerns,Low,Some concerns,Some concerns,F_intraop_fixed_or_unclear_exposure,KEEP SEPARATE,0,1,0,,,,SUN17_INTRAOP_MORPH_EQUIV,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,Author conversion not automatically IV-MME.,Sun_2017_RoB2_intraoperative_opioid.md,https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk
F-exposure-006,F-exposure,Jiang 2026,Jiang 2026,Intraoperative remifentanil + sufentanil exposure,intraoperative,Remi 841.4 [593.85–1278.0] vs795.2 [584.0–1228.2] μg; sufentanil 21.0 vs21.0 μg,Low,Some concerns,Some concerns,Some concerns,Some concerns,Some concerns,F_intraop_fixed_or_unclear_exposure,KEEP SEPARATE,0,1,0,,P1,,JIANG26_TEAS_vs_SHAM_INTRAOP_REMI,1,MATCHED,Existing v20 row(s) represent this source-verified estimand. v25 result-specific P1 disposition: RESOLVED_BY_STRATIFICATION.,Titration algorithm/anesthesiologist masking incompletely reported.,Jiang_2026_TargetF_RoB2_intraoperative_opioid_exposure.md,https://drive.google.com/file/d/1nujlP9A_IMWUfd3HdCD2rOxTc9-I8v92/view?usp=drivesdk
F-exposure-007,F-exposure,Wu 2025,Wu 2025,Pre-intervention intraoperative opioid exposure,intraoperative,Table 1 only,Some concerns,Low,Low,Some concerns,Some concerns,Some concerns,F_intraop_fixed_or_unclear_exposure,EXCLUDE treatment effect,0,0,1,EXCLUDE treatment effect,,,WU25_TEAS_vs_SHAM_INTRAOPREMI; WU25_TEAS_vs_SHAM_INTRAOPSUF,2,MATCHED,Existing v20 row(s) represent this source-verified estimand.,Randomization/TEAS occurred after surgery in PACU.,Wu_2025_TargetF_rescue_analgesic_use_audit_RoB2.md,https://drive.google.com/file/d/1ZV6JFjevGSPqnISdX61KPdcC_yEtq3vf/view?usp=drivesdk
F-rescue-opioid-001,F-rescue-opioid,Yao 2015,Yao 2015,Rescue sufentanil administration count,0–24 h,1 (1–3) vs3.5 (2–7.8),Low,Some concerns,Some concerns,Some concerns,Some concerns,Some concerns,F_rescue_opioid,UNRESOLVED P-value,0,0,1,UNRESOLVED P-value,P1,,YAO15_TEAS_vs_CONTROL_RESCUECOUNT24,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged. v25 result-specific P1 disposition: RESOLVED_BY_NATIVE_DATA_RULE.,Table P=0.004 vs prose 0.04.,Yao_2015_RoB2_rescue_analgesia_0_24h.md,
F-rescue-opioid-002,F-rescue-opioid,Chen 2015 (Hyperalgesia),Chen 2015 hyperalgesia,Rescue sufentanil count,0–24 h,3 (2–4) vs7 (6–8); P<0.001,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,F_rescue_opioid,CANDIDATE,1,0,0,,,,CHEN15H_TEAS_vs_SHAM_RESCUECOUNT24,1,MATCHED,Exact source-verified v20 outcome row already present; earlier A–F crosswalk miss corrected in v22.,VNRS≥4 PCIA rule.,Chen_2015_hyperalgesia_RoB2_rescue_sufentanil_0_24h.md,https://drive.google.com/file/d/13YKAZZsc2VQEPqkw1Ye40BYDZSRpI6N3/view?usp=drivesdk
F-rescue-opioid-003,F-rescue-opioid,Chen 2015,Chen 2015 QoR,Rescue morphine count,0–24 h,1 (1–3) vs3.5 (2–7); P=0.004,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,F_rescue_opioid,CANDIDATE,1,0,0,,,,CHEN15Q_TEAS_vs_CTRL_RESCUECOUNT24,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,Exact pre-dose trigger incompletely stated.,Chen_2015_QoR_RoB2_rescue_morphine_0_24h.md,
F-rescue-opioid-004,F-rescue-opioid,Xie 2014,Xie 2014,Rescue dezocine incidence,through 48 h,5% vs30% (derived 1/20 vs6/20),Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,F_rescue_opioid,CANDIDATE / separate drug,1,0,0,,,,XIE14_EAS_vs_SHAM_DEZOCINE48,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,Counts derived from percentages; patient-request trigger.,Xie_2014_RoB2_rescue_dezocine_0_48h.md,
F-rescue-opioid-005,F-rescue-opioid,Ntritsou 2014,Ntritsou 2014,Tramadol→morphine rescue,postoperative,Significantly lower at45 min/overall; exact quantities NR,Low,Some concerns,Some concerns,Some concerns,Some concerns,Some concerns,F_rescue_opioid,NARRATIVE ONLY,0,0,1,,P1,,NTRI14_EA_vs_SHAM_RESCUE,1,MATCHED,Existing v20 row(s) represent this source-verified estimand. v25 result-specific P1 disposition: RESOLVED_BY_NARRATIVE_ONLY.,Exact rescue-only group quantities absent.,Ntritsou_2014_TargetF_rescue_analgesia_audit.md,https://drive.google.com/file/d/1u_kNuuXF8upB3gJA2aDq8NldYDfhnWy3/view?usp=drivesdk
F-rescue-opioid-006,F-rescue-opioid,Yu 2020,Yu 2020,Rescue sufentanil incidence,0–24 h,13/30 vs24/30; P<0.01,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,F_rescue_opioid,CANDIDATE,1,0,0,,,,YU20_TEAS_vs_CONTROL_RESCUE24,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,Dose/trigger not reported.,Yu_2020_RoB2_rescue_sufentanil_0_24h.md,
F-rescue-opioid-007,F-rescue-opioid,Tu 2024,Tu 2024,Rescue tramadol incidence,6–24 h,3/57 vs6/58; P=0.315,Low,Some concerns,Some concerns,Some concerns,Some concerns,Some concerns,F_rescue_opioid,CANDIDATE,1,0,0,,,,TU24_TEAS_vs_SHAM_TRAMADOL,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,VAS>6 → tramadol10 mg IM.,Tu_2024_RoB2_rescue_tramadol_6_24h.md,https://drive.google.com/file/d/1xQ9SbXVZblphUrb0-T9xpnAXk-_z5nBX/view?usp=drivesdk
F-rescue-opioid-008,F-rescue-opioid,Liu 2026 (burn),Liu 2026 burn,Rescue dezocine incidence,to POD1,3/43 vs8/43,Low,Some concerns,Low,Low,Some concerns,Some concerns,F_rescue_opioid,UNRESOLVED P-value,0,0,1,UNRESOLVED P-value,P1,,LIU26BURN_TEAS_vs_SHAM_RESCUE,1,MATCHED,Existing v20 row(s) represent this source-verified estimand. v25 result-specific P1 disposition: RESOLVED_BY_RAW_DATA_RULE.,Table P=0.106 vs narrative0.430.,Liu_2026_burn_RoB2_rescue_analgesia_POD1.md,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk
F-rescue-opioid-009,F-rescue-opioid,Zhou 2025,Zhou 2025,Rescue tramadol incidence,first 3 PODs,6/48 vs13/49; P=0.124,Low,Low,Low,Some concerns,Some concerns,Some concerns,F_rescue_opioid,CANDIDATE,1,0,0,,,,ZHOU25_TEAS_vs_SHAM_RESCUE,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,Clinician discretion; no fixed pain threshold.,Zhou_2025_TargetF_RoB2_rescue_tramadol_POD1_3.md,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk
F-rescue-nonopioid-001,F-rescue-nonopioid,Li 2022,Li 2022,Rescue flurbiprofen incidence,0–48 h,0/39 vs0/40,—,—,—,—,—,—,F_rescue_nonopioid,EVIDENCE MAP only,0,0,1,,,,LI22_EA_vs_SHAM_RESCUEFLURB48,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,Double-zero.,Li_2022_TargetF_remifentanil_rescue_eligibility_audit.md,
F-rescue-nonopioid-002,F-rescue-nonopioid,Hou 2023,Hou 2023,Rescue flurbiprofen incidence,D3 / exact cumulative window unclear,15/36 vs28/36; P=0.002,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,F_rescue_nonopioid,UNRESOLVED window,0,0,1,UNRESOLVED window,,,HOU23_TEAS_vs_SHAM_RESCUE,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,,Hou_2023_RoB2_rescue_analgesia.md,https://drive.google.com/file/d/161WdTRehgwvDHvQ8OkRf8U9TbUmVQgaR/view?usp=drivesdk
F-rescue-nonopioid-003,F-rescue-nonopioid,Sun 2017,Sun 2017,Supplemental flurbiprofen incidence,0–48 h,"SSS23.3%, TSS11.0%, TTS15.4%, TST7.9%",Low,Some concerns,Some concerns,Low,Some concerns,Some concerns,F_rescue_nonopioid,SEPARATE non-opioid,0,1,0,,,,SUN17_TSS_vs_SSS_NSAID48; SUN17_TTS_vs_SSS_NSAID48; SUN17_TST_vs_SSS_NSAID48,3,MATCHED,Existing v20 row(s) represent this source-verified estimand.,Do not call opioid rescue.,Sun_2017_RoB2_nonopioid_rescue_flurbiprofen_0_48h.md,https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk
F-rescue-nonopioid-004,F-rescue-nonopioid,Lu 2021,Lu 2021,Rescue parecoxib incidence,by 24 h,4/190 vs7/188,Low,Low,Low,Some concerns,Some concerns,Some concerns,F_rescue_nonopioid,UNRESOLVED P-value,0,0,1,UNRESOLVED P-value,P1,,LU21_COMB_vs_SHAM_PARECOX24,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged. v25 result-specific P1 disposition: RESOLVED_BY_RAW_DATA_RULE.,Table P=0.35 vs narrative0.58.,Lu_2021_RoB2_rescue_parecoxib_0_24h.md,
F-mixed/undefined-001,F-mixed/undefined,Wang 2023,Wang 2023,Mixed/undefined analgesic use,0–72 h,0.53±0.55 vs0.98±0.96 doses; P=0.011,Low,Some concerns,Some concerns,Some concerns,Some concerns,Some concerns,F_rescue_mixed_or_undefined,UNRESOLVED,0,0,1,UNRESOLVED,P1,,WANG23_TEAS_vs_SHAM_RESCUEDOSE,1,MATCHED,Existing v20 row(s) represent this source-verified estimand. v25 result-specific P1 disposition: RESOLVED_BY_EXCLUSION.,"Drug, dose and trigger unspecified.",Wang_2023_RoB2_rescue_analgesia_count_0_72h.md,https://drive.google.com/file/d/177A4aH42GD90DhsvvtD-VOBSChBBpIWL/view?usp=drivesdk
F-mixed/undefined-002,F-mixed/undefined,Zhang 2025,Zhang 2025,Mixed/undefined analgesic use,POD1,14/45 vs29/48,Low,Some concerns,Some concerns,Some concerns,Some concerns,Some concerns,F_rescue_mixed_or_undefined,DO NOT POOL pending clarification,0,0,1,DO NOT POOL pending clarification,P1,,ZHANG25_TEAS_vs_SHAM_RESCUE,1,MATCHED,Existing v20 row(s) represent this source-verified estimand. v25 result-specific P1 disposition: RESOLVED_BY_EXCLUSION.,Mixed PACU sufentanil / ward indomethacin; printed RR/CI/P inconsistent.,Zhang_2025_TargetF_mixed_rescue_analgesia_POD1_RoB2.md,https://drive.google.com/file/d/1eHx6Hk16vmIfMgoiZ5eNae4zmCR5ktwJ/view?usp=drivesdk
F-mixed/undefined-003,F-mixed/undefined,Wu 2025,Wu 2025,Mixed/undefined analgesic use,initial 24 h,Medication-specific rows,Some concerns,Low,Low,Some concerns,Some concerns,Some concerns,F_rescue_mixed_or_undefined,MEDICATION-SPECIFIC only,0,1,0,,,,WU25_TEAS_vs_SHAM_RESCUE_PARACET24; WU25_TEAS_vs_SHAM_RESCUE_OXYAPAP24; WU25_TEAS_vs_SHAM_RESCUE_PARECOX24,3,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (3 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,Units and drug-choice algorithm unclear.,Wu_2025_TargetF_rescue_analgesic_use_audit_RoB2.md,
F-mixed/undefined-004,F-mixed/undefined,Liang 2021,Liang 2021,Mixed/undefined analgesic use,unclear,3.8(1.9) vs5.0(2.9); P=0.045,—,—,—,—,—,—,F_rescue_mixed_or_undefined,EXCLUDE unresolved,0,0,1,EXCLUDE unresolved,P1,,LIANG21_TEAS_vs_CTRL_EXTRAANALG,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged. v25 result-specific P1 disposition: RESOLVED_BY_EXCLUSION.,Drug/unit/window/metric unclear.,Liang_2021_TargetF_extra_analgesia_eligibility_audit.md,
F-mixed/undefined-005,F-mixed/undefined,Yang 2020,Yang 2020,Mixed/undefined analgesic use,unclear,Bucinnazine 5/29 vs7/28; P=0.473,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,F_rescue_mixed_or_undefined,UNRESOLVED window,0,0,1,UNRESOLVED window,P2,,YANG20_EA_vs_UC_BUCINNAZINE,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,Exact cumulative time window not reported.,Yang_2020_RoB2_rescue_bucinnazine.md,
F-mixed/undefined-006,F-mixed/undefined,Yang 2024,Yang 2024,Mixed/undefined analgesic use,unclear,Bucinnazine 48/90 vs64/90; P=0.014,Low,Low,Low,Some concerns,Some concerns,Some concerns,F_rescue_mixed_or_undefined,UNRESOLVED window,0,0,1,UNRESOLVED window,P2,,YANG24_EA_vs_UC_BUCINNAZINE,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,Exact cumulative time window not reported.,Yang_2024_RoB2_rescue_bucinnazine.md,
F-mixed/undefined-007,F-mixed/undefined,Zhou 2021,Zhou 2021 gastric,Mixed/undefined analgesic use,postoperative study period,Opioid use18/41 vs30/40; MME8.935±3.660 vs12.83±8.097 mg,Some concerns,Some concerns,Low,High,Some concerns,High,F_rescue_mixed_or_undefined,EXCLUDE fixed-time pools,0,0,1,EXCLUDE fixed-time pools,P1,,ZHOU21_TEAS_vs_UC_OPIOIDUSE; ZHOU21_TEAS_vs_UC_MME_POSTOP,2,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged. v25 result-specific P1 disposition: RESOLVED_BY_EXCLUSION.,Time window unclear; morphine-equivalent rule internally inconsistent.,Zhou_2021_TargetF_RoB2_postoperative_opioid_use.md,https://drive.google.com/file/d/1PxYyULBv_ZjWeqAm_bNYkDn_j2_lNYLq/view?usp=drivesdk
F-PCA-001,F-PCA,Chen 2020,Chen 2020,PCIA total/effective attempts,0–48 h,4.83±1.06 /4.58±0.93 vs14.05±2.01 /7.48±1.18,Low,Low,Low,High,Some concerns,High,F_PCA_behavior,EXPLORATORY / High RoB,0,1,0,,,,CHEN20_TEAS_vs_SHAM_PCAATT48; CHEN20_TEAS_vs_SHAM_PCAEFF48,2,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (2 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,Behavioral endpoint.,Chen_2020_RoB2_PCIA_attempts_0_48h.md,
F-PCA-002,F-PCA,He 2026 (hepatectomy/JIS),He 2026 hepatectomy,PCA attempts/effective deliveries,0–24 h,2.7±3.3 /2.6±3.3 vs3.5±6.1 /3.5±6.0,Low,Some concerns,Low,Low,Some concerns,Some concerns,F_PCA_behavior,EXPLORATORY,0,1,0,,P1,,HEJIS26_TEAS_vs_CTRL_PCAATT24; HEJIS26_TEAS_vs_CTRL_PCADELIV24,2,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged. v25 result-specific P1 disposition: RESOLVED_BY_PARTIAL_EXCLUSION.,Mixed sufentanil+oxycodone PCA.,He_2026_hepatectomy_RoB2_PCA_demand_0_24h.md,https://drive.google.com/file/d/1VgOxIOrGe7ZVevkKEVP7G-0V1DXPU0Gf/view?usp=drivesdk
F-PCA-003,F-PCA,Ao 2021,Ao 2021,PCA solution use/effective presses,0–48 h,102.8±7.4 vs120.6±9.2 mL;6.2±3.7 vs12.3±4.6 presses,Low,Some concerns,Some concerns,Some concerns,Some concerns,Some concerns,F_PCA_behavior,EXPLORATORY,0,1,0,,,,AO21_TEAS_vs_SHAM_PCA48,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,Preserve mL; weight-dependent sufentanil concentration.,Ao_2021_TargetF_RoB2_PCA_use_0_48h.md,https://drive.google.com/file/d/1tNFnY0fJpx53hrtY4DIaE1RsNjE55Xvd/view?usp=drivesdk
F-PCA-004,F-PCA,Liu 2021,Liu 2021,PCA compressions,0–24 h,17.62±2.687 vs17.38±3.801; P=0.716,Some concerns,Some concerns,Low,High,Some concerns,High,F_PCA_behavior,EXPLORATORY / High RoB,0,1,0,,,,LIU21_TEAS_vs_CTRL_PCAPRESS24,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,Unmasked behavioral endpoint.,Liu_2021_RoB2_PCA_compressions_0_24h.md,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk
F-PCA-005,F-PCA,Long 2025,Long 2025,PCIA compressions,0–48 h,7.11±2.14 vs8.62±1.84; P=0.008,Some concerns,Some concerns,Some concerns,High,Some concerns,High,F_PCA_behavior,EXPLORATORY / High RoB,0,1,0,,,,LONG25_TEAS_vs_CTRL_PCIAPRESS48,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,11.7% missing; masking unclear.,Long_2025_RoB2_PCIA_compressions_0_48h.md,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk
F-PCA-006,F-PCA,Zheng 2025,Zheng 2025,Total/effective PCIA use,unclear,6.3±2.2 vs10.7±3.9;3.8±1.0 vs4.8±1.6,Low,Some concerns,Low,Low,Some concerns,Some concerns,F_PCA_behavior,UNRESOLVED window,0,0,1,UNRESOLVED window,P1,,ZHENG25_TEAS_vs_SHAM_PCA_PRESS,1,MATCHED,Existing v20 row(s) represent this source-verified estimand. v25 result-specific P1 disposition: RESOLVED_BY_EXCLUSION.,Exact cumulative window not stated.,Zheng_2025_RoB2_PCIA_use_postoperative.md,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk
F-PCA-007,F-PCA,Jin 2023,Jin 2023,Analgesic pump compressions,0–48 h,"Sham9.0 (4.3–12.0), 2Hz1.0 (0–3.0),20/100Hz1.0 (0–4.5)",Some concerns,Some concerns,Some concerns,Low,Some concerns,Some concerns,F_PCA_behavior,EXPLORATORY,0,1,0,,,,JIN23_2HZ_vs_SHAM_NAPC48; JIN23_20100_vs_SHAM_NAPC48,2,MATCHED,Existing v20 row(s) represent this source-verified estimand.,16/174 excluded; some due unsatisfying effects.,Jin_2023_RoB2_analgesic_pump_compressions_0_48h.md,https://drive.google.com/file/d/1fkNAFra0gZ9jkWkzp_S0TWy-5zVrXCtj/view?usp=drivesdk
F-PCA-008,F-PCA,Lee 2011,Lee 2011,PCA demands,0–24 h,Sham74.18±39.33; high52.17±21.87; low41.60±36.47,Some concerns,Some concerns,Some concerns,Low,Some concerns,Some concerns,F_PCA_behavior,EXPLORATORY,0,1,0,,P2,,LEE11_LOW_vs_SHAM_PCADEMAND24; LEE11_HIGH_vs_SHAM_PCADEMAND24,2,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (2 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,Direct active-vs-sham pairwise P values not reported.,Lee_2011_RoB2_PCA_morphine_and_demands_24h.md,
F-PCA-009,F-PCA,Lu 2022,Lu 2022,PCA attempts/deliveries,24/48/72 h,24h attempts8.0 vs16.5; deliveries5.0 vs12.0,Low,Some concerns,Some concerns,High,Some concerns,High,F_PCA_behavior,EXPLORATORY / High RoB,0,1,0,,P2,,LU22_TEAS_vs_CTRL_PCAATTEMPT24; LU22_TEAS_vs_CTRL_PCADELIV24; LU22_TEAS_vs_CTRL_PCAATTEMPT48; LU22_TEAS_vs_CTRL_PCADELIV48; LU22_TEAS_vs_CTRL_PCAATTEMPT72; LU22_TEAS_vs_CTRL_PCADELIV72,6,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (4 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,Patient blinding difficult; PCA drug/settings not reported.,Lu_2022_RoB2_PCA_attempts_deliveries_24_48_72h.md,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk
F-PCA-010,F-PCA,Yeh 2010,Yeh 2010,PCA button pushes,0–24 h,True25.3±28.5 vs sham47.4±39.7,Some concerns,Some concerns,Some concerns,Low,Some concerns,Some concerns,F_PCA_behavior,HOLD overlap review,0,0,1,HOLD overlap review,P1,YEH_SPINE_AES_POSSIBLE_OVERLAP,YEH10_AES_vs_SHAM_PCAPUSH24,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged. v25 result-specific P1 disposition: HARD_HOLD_DEPENDENCY.,Potential overlap with Yeh2011.,Yeh_2010_RoB2_morphine_PCA_24h.md,
F-PCA-011,F-PCA,Lin 2002,Lin 2002,PCA demands,0–24 h,Sham16.1±7.4; low11.7±7.1; high7.9±5.9,Some concerns,Some concerns,Low,High,Some concerns,High,F_PCA_behavior,EXPLORATORY / High RoB,0,1,0,,,,LIN02_HIGH_vs_SHAM_PCADEMAND24; LIN02_LOW_vs_SHAM_PCADEMAND24,2,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (2 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,Behavioral endpoint.,Lin_2002_RoB2_morphine_PCA_24h.md,
F-PCA-012,F-PCA,Yeh 2011,Yeh 2011 IJNS,PCA button pushes,0–24 h,AES24.9±28.5 vs sham47.4±39.7 vs control76.9±86.1,Some concerns,Low,Low,Some concerns,Some concerns,Some concerns,F_PCA_behavior,HOLD — potential overlap,0,0,1,HOLD — potential overlap,P1,YEH_SPINE_AES_POSSIBLE_OVERLAP,YEH11_AES_vs_SHAM_PCAPUSH24,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged. v25 result-specific P1 disposition: HARD_HOLD_DEPENDENCY.,Do not count independently with Yeh2010.,Yeh_2011_TargetF_RoB2_and_companion_overlap_audit.md,
F-postop-dose-001,F-postop-dose,Seevaunnamtum 2016,Seevaunnamtum 2016,Total morphine incl PCAM + IV rescue,0–24 h,21.38±14.38 vs33.94±20.24 mg; P=0.006,Some concerns,Low,Low,Low,Some concerns,Some concerns,F_postop_delivered_dose_or_solution,CANDIDATE separate 24-h dose,1,0,0,,,,SEEVA16_EA_vs_UC,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,Rescue component not separable.,Seevaunnamtum_2016_TargetF_24h_total_morphine_audit_RoB2.md,https://drive.google.com/file/d/1OhuqhDUCEmOij7fZFhHHCJNwfQ9xpMzd/view?usp=drivesdk
F-postop-dose-002,F-postop-dose,Lee 2011,Lee 2011,Delivered morphine,0–24 h,Sham34.20±6.40; high31.14±8.15; low29.29±8.89 mg,Some concerns,Some concerns,Some concerns,Low,Some concerns,Some concerns,F_postop_delivered_dose_or_solution,CANDIDATE separate 24-h dose,1,0,0,,P2,,LEE11_LOW_vs_SHAM_MORPH24; LEE11_HIGH_vs_SHAM_MORPH24,2,MATCHED,Existing v20 row(s) represent this source-verified estimand.,Four randomized arms; active-vs-sham P NR.,Lee_2011_RoB2_PCA_morphine_and_demands_24h.md,https://drive.google.com/file/d/1kQDSBtx3OpFOsim5oUMwhpfHOqaMy8Q9/view?usp=drivesdk
